undergraduate,sector,experience,wage
math,industry,senior,53.58044277234102
law,financial,senior,32.96383385897521
economics,industry,senior,32.693514479958445
math,industry,senior,57.53645875816293
math,tech,senior,66.47866438208582
economics,financial,senior,41.347580378851774
math,industry,senior,56.87934912824584
economics,tech,senior,54.81261899658942
math,financial,senior,70.00183818486069
economics,industry,senior,29.253040618881236
law,industry,senior,24.9131062469743
law,tech,senior,34.692401436183204
math,tech,senior,76.21536103917003
law,industry,senior,22.66892286094863
law,industry,senior,27.167042204230036
law,tech,senior,43.71685783395147
math,tech,senior,70.90001550645748
math,industry,senior,49.1193891643731
math,industry,senior,52.49999606971777
law,industry,senior,25.8309166499866
law,financial,senior,33.38699622354058
economics,tech,senior,51.57582262902127
math,financial,senior,66.33070058212188
law,financial,senior,29.70449296572284
economics,financial,senior,37.34515897907083
law,industry,senior,31.018553746792605
economics,tech,senior,55.325003157477326
economics,financial,senior,39.553423189548184
math,industry,senior,60.97560825819194
math,industry,senior,55.17914673305884
economics,industry,senior,41.32977044891174
law,industry,senior,20.3571717654558
law,tech,senior,41.89555013012915
economics,tech,senior,50.78209168352001
law,tech,senior,43.19111573421702
economics,financial,senior,36.07099379733974
economics,financial,senior,46.4833471645602
economics,tech,senior,44.63843074211597
law,financial,senior,30.642455391847108
economics,tech,senior,43.435504857214895
math,industry,senior,55.90174309691798
math,industry,senior,57.20327020379011
math,industry,senior,55.095731032022684
law,financial,senior,23.8169152838543
law,tech,senior,42.322378291914035
math,industry,senior,55.57114619280994
math,industry,senior,58.026830936509626
law,industry,senior,28.766440192398477
math,tech,senior,77.87266832519558
economics,industry,senior,30.86420450399065
math,industry,senior,55.73759930411592
law,financial,senior,35.79278094846776
math,industry,senior,54.83545643695641
law,tech,senior,38.19557993441081
economics,industry,senior,37.39494295835304
economics,industry,senior,31.56886975042965
math,financial,senior,69.57090945984314
math,tech,senior,76.20211904708736
math,financial,senior,63.364445578893125
economics,tech,senior,51.58811978790612
economics,financial,senior,38.65795778548385
economics,tech,senior,46.9147873263994
math,tech,senior,72.3533927834605
law,industry,senior,28.32492732273151
law,tech,senior,39.063898157014606
law,tech,senior,41.64633252266471
law,financial,senior,34.64650844296089
math,industry,senior,52.293672977509175
math,tech,senior,67.71219162307486
economics,financial,senior,44.57819770011154
math,industry,senior,55.03109837750894
economics,tech,senior,51.07402237390634
law,financial,senior,30.063644484249295
law,financial,senior,26.079715084432173
math,tech,senior,77.74351121607786
math,industry,senior,52.78985585859416
economics,financial,senior,38.063130320382626
law,industry,senior,23.02581018483359
math,industry,senior,52.92013930815688
economics,financial,senior,41.59879614981209
law,tech,senior,40.876762970695296
law,financial,senior,31.69466776852764
law,financial,senior,32.98665088831437
economics,tech,senior,47.08267638742731
law,industry,senior,20.80313156327457
law,tech,senior,38.70733860320077
math,industry,senior,57.0770047625199
