V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
987664;4711-472;471-472;11;1986;0;603028;112214,5;0;0;54720;0;1526;0;0;6120;4503;1131;33675;1480;997;0;0;8062,5;106333;45684;5440371;490813,5;8;1;0;8;0;0;9;0;1;0;0;5;3;0;0;0;0;5;4;0;27525;0;15511,88;0;106333;121844,88;2409090;2499584;4837343;2454337;4837343;4837343;0;4980000;1110;5145586
987666;462;462-463;14;1996;0;1083695;77336;780;2970;0;0;68000;0;0;2711;648;1154;278;0;0;0;0;795;224033;117814;5904041;1006359;13;0;9;4;0;0;13;0;0;2;7;1;3;0;0;0;0;3;10;172013;53636;213195;53124,16;0;52020;318339,16;3193;476400;4820346;239796,5;4820346;4820346;0;4928292;1255;5288743
987667;4771-4751;476 - 477;4;1991;0;190661;26863;0;0;12000;0;0;1918;0;4886;4747;1516;302;0;100;0;0;1394;89243;36834;706149;163798;7;0;0;7;0;0;7;0;0;0;0;5;2;0;0;0;0;5;2;0;18324;0;16534,88;0;89243;105777,88;431759;422759;515488;427259;515488;515488;0;548094;16772;701070
987668;466;466-469;14;1986;0;2459238;1262835,5;0;0;39821;0;6332;20899;0;5864;2623;1452;1015082;2050;161985;0;0;6727,5;187355;79166;15573709;1196402,5;12;0;12;0;0;0;12;0;0;2;10;0;0;0;0;0;0;2;10;187355;44550;231905;30543,12;0;0;262448,12;1963161;2694017;13114471;2328589;13114471;13114471;0;14487926;62938;14895893
987669;473;473;5;2004;0;1688361;218895,5;0;0;11630;0;0;12066;36856;20669;6246;3636;19150;335;83411;2952;0;21944,5;497591;207556;9454561;1469465,5;17;0;17;0;0;0;17;0;0;8;9;0;0;0;0;0;0;8;9;497591;117471;615062;78928,12;0;0;693990,12;141377;172460;7766200;156918,5;7766200;7766200;0;8044113;57255;8847340
987670;464;464-465;4;2005;0;2253742;253963,5;0;0;50880;0;17006;55573;0;5820;2220;4895;7651;0;49489;0;0;60429,5;709265;357443;9719657;1999778,5;10;0;10;0;0;0;10;0;0;4;6;0;0;0;0;0;0;4;6;709265;161712;870977;177475;0;0;1048452;657808;1516713;7465915;1087260,5;7465915;7465915;0;7815028;548028;9429764
987672;4752;474 - 475;11;1997;0;1573522;194774,5;0;3431;29373;7683;10680;31542;0;8622;7628;3463;0;0;30991;0;0;61361,5;480817;193021;12588174;1378747,5;32;0;32;0;0;0;32;0;0;15;17;0;0;0;0;0;0;15;17;480817;96535;577352;85753,04;0;0;663105,04;880569;528789;11014652;704679;11014652;11014652;0;11345978;14421;12089103
987674;462;462-463;14;2011;82170;1432065;314038,5;0;1235;58757;0;61200;12177;8527;13362;4693;3407;9711;28398;56302;0;0;56269,5;294770;107033;8698525;1118026,5;13;0;13;0;0;0;13;0;0;5;8;0;0;0;0;0;0;5;8;294770;57207;351977;43420,72;0;0;395397,72;1755852;720622;7184290,066;1238237;7184290;7266460;0;7729452;5385;8205888
987675;4759-4761;476 - 477;11;1991;0;1335593;298285,5;12323;42978;23800;0;0;15381;0;65446;5592;1909;57322;0;31507;0;0;42027,5;267575;115978;10627959;1037307,5;18;1;18;0;0;1;20;0;1;18;0;0;0;0;0;1;0;19;1;261825;69385;331210;40657;0;0;371867;1353480;1592000;9292366;1472740;9292366;9292366;0;9691628;18927;10117308
987677;4772;476 - 477;11;1981;0;960310;154338;0;8773;14656;29991;10844;171;141;9621;6350;220;3703;0;102;830;28162;40774;137233;57582;3225932;805972;11;3;0;11;0;0;14;1;2;0;0;4;7;0;0;0;0;5;9;0;34017;0;20354,52;0;137233;157587,52;490850;1069434;2265622;780142;2265622;2265622;0;2474289;12640;2698229
987679;466;466-469;14;2002;0;1445316;207428;0;0;27739;0;110287;0;1623;6295;5507;1682;0;0;24595;0;0;29700;494197;180136;10035000;1237888;18;0;18;0;0;0;18;0;0;5;13;0;0;0;0;0;0;5;13;494197;113254;607451;55806,88;0;0;663257,88;1931164;2002135;8589684;1966649,5;8589684;8589684;0;8895015;204657;9807197
987680;465;464-465;14;1982;615637;4012539;545868;0;831;105019;0;124677;32191;19874;6085;19204;1358;110252;12035;40581;0;0;73761;949544;499750;11552864;3466671;30;1;0;30;0;0;31;1;0;0;0;13;17;0;0;0;0;14;17;0;242304;0;227237,92;0;949544;1176781,92;2299431;2544130;6924688,254;2421780,5;6924688;7540325;0;8245239;656144;10421961
987686;462;462-463;11;1990;0;899452;159125,5;0;6228;15664;0;0;18060;2045;11118;8048;2415;0;0;34659;0;0;60888,5;124714;47094;11243140;740326,5;10;0;0;10;0;0;10;0;0;0;0;3;7;0;0;0;0;3;7;0;24497;0;19836,76;0;124714;144550,76;415160;430712;10343688;422936;10343688;10343688;0;10613720;31957;10831518
987687;473;473;14;2011;0;1184282;210409;450;0;23760;0;0;6301;290;26990;5750;2639;4543;418;94969;0;0;44299;308903;136829;9407486,848;973873;17;0;14;3;0;0;17;0;0;4;10;0;3;0;0;0;0;4;13;254377;74785;315965;54482,32;0;54526;424973,32;150840;122350;8284497;136595;8284497;8284497;0;8575871;154178;9219109
