Ganancia bruta,Ganancia (pérdida),Ingresos de actividades ordinarias,Costo de ventas,Patrimonio total,Total pasivos,Total de activos,Sector,Ganancias acumuladas,Otros pasivos financieros corrientes,Pasivos corrientes totales,Costos financieros,Otros activos no financieros corrientes,Activos corrientes totales
2204034.6666666665,-172877.0,6240172.333333333,4036137.6666666665,2842086.0,2333402.6666666665,5175488.666666667,C,969613.6666666666,616674.3333333334,1393518.0,251472.33333333334,0.0,2624025.3333333335
1862384.3333333333,436544.3333333333,7505180.333333333,5642796.0,2514738.3333333335,2838038.3333333335,5352776.666666667,M,1424944.0,501819.0,2835373.6666666665,96737.0,479979.0,4294890.0
4847356.0,2499632.6666666665,5250102.666666667,604120.0,22857899.333333332,5997674.666666667,28855574.0,N,22777653.333333332,4642270.5,4602900.666666667,14242.333333333334,4199082.0,28825312.666666668
2676592.0,283628.0,9273370.0,6596778.0,37464141.0,20259516.0,57723657.0,A,32903841.0,79534.0,4471551.0,1391031.0,34146.0,6261903.0
-73001.0,-225309.0,287365.0,360366.0,1831897.0,4297547.0,6129444.0,C,1015804.0,2410375.0,4297547.0,6170.0,746236.0,4194993.0
3184193.6666666665,3016357.3333333335,20534567.333333332,17350373.666666668,31319526.333333332,9930307.333333334,41249833.666666664,H,29368191.333333332,492.0,9930307.333333334,132523.33333333334,134504.0,34007305.333333336
6201905.333333333,174265.66666666666,12668346.666666666,6466441.333333333,3066290.0,6745399.0,9811689.0,G,1739648.6666666667,3467880.3333333335,6298290.333333333,1189546.6666666667,0.0,9454090.666666666
6354724.666666667,442776.3333333333,13024711.0,6669986.333333333,5268741.333333333,2225346.3333333335,7494087.666666667,C,3929287.6666666665,9983.0,1901346.3333333333,140659.5,35818.0,6075680.666666667
2051839.6666666667,4008676.3333333335,2353863.6666666665,302024.0,14843775.666666666,13969361.333333334,28813137.0,J,8504147.0,2877591.6666666665,8401148.333333334,911121.0,88788.0,9283241.0
2048444.0,202157.33333333334,6497691.333333333,4449247.333333333,1011557.0,946214.3333333334,1957771.3333333333,G,786557.0,291301.5,946214.3333333334,113547.0,0.0,1774453.0
11791146.333333334,902190.6666666666,13171640.0,1380493.6666666667,11049349.333333334,8746054.666666666,19795404.0,R,6346247.666666667,1356598.0,3178703.3333333335,571126.0,55000.0,1737566.3333333333
4680826.0,894766.6666666666,35801855.333333336,31121029.333333332,9057268.666666666,19395661.666666668,28452930.333333332,F,4451452.0,2344696.3333333335,10157949.333333334,760621.0,4915231.0,18887168.0
1352461.6666666667,228610.66666666666,10757323.0,9404861.333333334,61184367.0,26694122.666666668,87878489.66666667,F,40151721.666666664,2878819.3333333335,9868210.333333334,396702.0,0.0,25708237.333333332
7639475.0,1798100.0,23561468.0,15921993.0,20205311.0,11100326.0,31305637.0,C,13913430.666666666,1182860.0,8745986.333333334,904181.3333333334,805623.0,11820626.666666666
559796.0,123300.66666666667,7968959.333333333,7409163.333333333,1181209.6666666667,2129560.3333333335,3310770.0,C,63634.0,248619.66666666666,1629153.6666666667,94569.33333333333,1657.0,3068574.0
302017.6666666667,22758.666666666668,303376.6666666667,2038.5,949509.6666666666,3129296.3333333335,4078806.0,L,844509.6666666666,4097.5,706827.6666666666,25454.666666666668,0.0,184040.33333333334
48946136.333333336,-1013159.6666666666,330472486.6666667,281526350.3333333,48564752.0,105361980.66666667,153926732.66666666,A,31418134.0,24121446.666666668,54169709.0,5190472.666666667,242065.0,56410889.0
4529895.333333333,219040.66666666666,25946528.333333332,21416633.0,3931908.0,5397964.0,9329872.0,C,2214156.3333333335,503723.6666666667,3494347.0,207805.0,0.0,6404669.0
3885343.6666666665,680079.6666666666,8635485.333333334,4750141.666666667,9780585.666666666,5811556.666666667,15592142.333333334,G,8020149.666666667,275731.6666666667,4058757.6666666665,223091.33333333334,405750.0,6464115.333333333
9532548.666666666,153226.66666666666,56859325.0,47326776.333333336,15728636.333333334,34305172.666666664,50033809.0,G,7976634.666666667,8132168.333333333,17683495.333333332,1448397.3333333333,72810.33333333333,27078957.0
2272980.0,42696.666666666664,5258212.0,2985232.0,6553710.666666667,4116525.0,10670235.666666666,N,5587439.666666667,97242.66666666667,2163701.0,91580.33333333333,20666.666666666668,2200741.3333333335
6199525.666666667,-161484.66666666666,9593313.333333334,3393787.6666666665,160206.0,3328106.3333333335,3488312.3333333335,I,-762654.0,221933.33333333334,2302125.6666666665,139253.66666666666,0.0,1054938.6666666667
5612247.0,1429992.3333333333,24689994.333333332,19077747.333333332,5119009.0,6130636.0,11249645.0,C,2118177.0,345699.0,5675163.0,167466.0,99370.0,10524314.333333334
4079858.0,358159.0,8040670.333333333,3960812.3333333335,2128935.6666666665,1636010.3333333333,3764946.0,C,860609.6666666666,277.6666666666667,1485909.6666666667,26098.0,0.0,3621407.0
12273158.666666666,210629.0,40154494.333333336,27881335.666666668,7315276.333333333,17610045.0,24925321.333333332,G,941876.3333333334,0.0,17499707.333333332,215652.66666666666,122396.33333333333,21994561.333333332
660146.0,613444.6666666666,2413879.0,1753733.0,13798903.666666666,1184774.3333333333,14983678.0,A,2389769.6666666665,252718.33333333334,493298.0,5779.666666666667,22962.0,4356122.666666667
5368706.0,1345688.6666666667,51491455.666666664,46122749.666666664,10698272.333333334,14618208.333333334,25316480.666666668,N,3127775.6666666665,1457736.6666666667,7309968.0,693091.3333333334,0.0,17063502.333333332
495026.0,-1074776.3333333333,2407376.3333333335,1912350.3333333333,4450663.333333333,10008290.333333334,14458953.666666666,G,-762517.0,2493.5,3367776.6666666665,112196.0,0.0,13183765.666666666
5842434.0,249491.0,11706949.0,5864515.0,1781062.0,1025480.3333333334,2806542.3333333335,I,1664546.0,63907.0,944148.6666666666,74814.66666666667,0.0,1880570.0
4553109.666666667,2003968.3333333333,15126076.666666666,10572967.0,21478179.0,19536042.666666668,41014221.666666664,A,9660865.666666666,3212525.0,10670872.333333334,1058340.0,59164.0,5904300.666666667
3213402.0,504096.3333333333,10603803.666666666,7390401.666666667,7791808.333333333,1982105.3333333333,9773913.666666666,G,1156688.3333333333,163581.66666666666,1385711.0,184386.33333333334,0.0,4177009.6666666665
46413895.333333336,11729112.0,307066770.3333333,260652875.0,65188275.0,83573569.0,148761844.0,G,33462028.666666668,22939444.666666668,58820147.666666664,5657185.0,36027.0,97447547.0
3621281.3333333335,359798.3333333333,22184120.666666668,18562839.333333332,28056826.0,10893894.0,38950720.0,F,23888142.666666668,2559909.0,6197471.333333333,682330.3333333334,82129.33333333333,12646019.333333334
5178675.666666667,421710.6666666667,14259097.666666666,9080422.0,17820298.333333332,19011600.666666668,36831899.0,G,8937894.666666666,2043899.0,2865565.6666666665,0.0,0.0,31846067.333333332
3370718.0,-291198.6666666667,6725109.0,3354391.0,459915.6666666667,3082852.0,3542767.6666666665,I,-149831.0,75891.66666666667,1767209.6666666667,238637.5,61107.0,1557721.0
6071225.0,2366120.6666666665,22530523.666666668,16459298.666666666,20494459.666666668,8814222.0,29308681.666666668,C,18666193.666666668,145640.0,7528772.333333333,175747.0,578384.0,9581308.333333334
47807.0,315740.3333333333,71841.33333333333,36051.5,4280894.333333333,102734.0,4383628.333333333,L,4212972.333333333,0.0,18007.333333333332,0.0,0.0,96126.33333333333
2184462.0,300559.0,7539379.333333333,5354917.333333333,1777304.0,1647596.6666666667,3424900.6666666665,C,1329891.0,138880.33333333334,1616999.6666666667,58141.0,0.0,1854067.0
1002605.0,-4699566.0,6405231.0,5402626.0,5017279.0,20446305.0,25463584.0,F,3079603.0,3965331.0,11757451.0,1788245.0,0.0,5353388.0
5257216.666666667,579377.3333333334,59625916.666666664,54368700.0,5437344.0,14841277.0,20278621.0,G,2806919.3333333335,5961786.0,14398710.0,503522.3333333333,0.0,19773662.0
895494.6666666666,61187.666666666664,6739988.0,5844493.333333333,3094285.0,1676206.0,4770491.0,G,2263610.6666666665,236402.0,712786.3333333334,175235.33333333334,138626.0,1903274.6666666667
