,Sector,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Costos financieros,Ingreso (gasto) por impuestos,Ganancia (pérdida),Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,Activos corrientes totales,Propiedades planta y equipo,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,Pasivos por impuestos corrientes corriente,Otros pasivos financieros corrientes,Pasivos corrientes totales,Total de pasivos no corrientes,Total pasivos,Capital emitido,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
152,C,16307458.0,11595164.0,4712294.0,136398.0,1581615.0,1627477.0,119124.0,149019.0,321007.0,1146568.0,148637.0,3203414.0,1977390.0,5952908.0,6139493.0,6139493.0,12092401.0,417189.0,417189.0,2085617.0,784395.0,53769.0,3364661.0,850727.0,4215388.0,1783452.0,3910853.0,2182708.0,7877013.0,12092401.0
192,C,14501756.0,9996813.0,4504943.0,22835.0,558334.0,1931231.0,264646.0,285576.0,579510.0,957487.0,1596875.0,1906056.0,1065833.0,4668278.0,4800081.0,5168603.0,9836881.0,451607.0,451607.0,1689527.0,369538.0,241483.0,2914385.0,3172599.0,6086984.0,1000000.0,307494.0,2442403.0,3749897.0,9836881.0
216,C,21796254.0,15147171.0,6649083.0,277615.0,1937341.0,2362990.0,427263.0,392132.0,623996.0,1182976.0,615824.0,2721958.0,5744898.0,9082680.0,511583.0,1430603.0,10513283.0,99730.0,99730.0,4275906.0,159740.0,1002218.0,6023185.0,18331.0,6041516.0,204000.0,102000.0,4165767.0,4471767.0,10513283.0
240,C,20992373.0,455559.0,20536814.0,138345.0,0.0,7847089.0,7713893.0,504174.0,1848619.0,2799878.0,1671229.0,2336542.0,324386.0,6441191.0,12880343.0,14229925.0,20671116.0,536335.0,536335.0,622918.0,1848619.0,173882.0,3181754.0,3784426.0,6966180.0,4000000.0,769908.0,8829031.0,13704936.0,20671116.0
348,C,33166776.0,25158459.0,8008317.0,113585.0,4554717.0,2046911.0,634136.0,789958.0,85937.0,10243.0,532318.0,6929449.0,7414927.0,14876694.0,9330219.0,9377994.0,24254688.0,375650.0,391275.0,2483841.0,561688.0,6300518.0,9737322.0,7611459.0,17348781.0,4300000.0,684573.0,1921334.0,6905907.0,24254688.0
356,C,22140698.0,16567724.0,5572974.0,357325.0,3092662.0,2005598.0,15351.0,325951.0,149318.0,380112.0,873344.0,6623155.0,5357490.0,14026845.0,4942963.0,6106216.0,20133061.0,432512.0,432512.0,4151363.0,62529.0,236874.0,4883278.0,1294859.0,6178137.0,900000.0,2993692.0,5261232.0,13954924.0,20133061.0
372,C,9519493.0,4922929.0,4596564.0,126275.0,378549.0,2788372.0,0.0,119172.0,474126.0,962620.0,1148836.0,3622847.0,282470.0,5124267.0,833660.0,897067.0,6021334.0,64513.0,398415.0,1710630.0,738488.0,53419.0,3049042.0,8824.0,3057866.0,900000.0,0.0,2063468.0,2963468.0,6021334.0
528,C,5444637.0,2567370.0,2877267.0,196582.0,721109.0,1705896.0,24361.0,0.0,175633.0,446850.0,400.0,1153915.0,197770.0,1715830.0,14503071.0,17052538.0,18768368.0,0.0,0.0,522902.0,358495.0,368814.0,1250211.0,0.0,1250211.0,3285300.0,746926.0,1107574.0,17518157.0,18768368.0
564,C,4942608.0,3394648.0,1547960.0,28147.0,1181042.0,734590.0,15231.0,176507.0,20357.0,-548077.0,226747.0,734034.0,1273600.0,2234381.0,2152950.0,2239299.0,4473680.0,112139.0,112139.0,446857.0,152478.0,748201.0,1462295.0,670983.0,2133278.0,750000.0,85807.0,-52490.0,2340402.0,4473680.0
672,C,34705604.0,24322596.0,10383008.0,232340.0,3439510.0,1518063.0,23825.0,1346488.0,1620813.0,2769006.0,1150483.0,3292542.0,6017062.0,13412853.0,19102682.0,19102682.0,32515535.0,764779.0,764779.0,2181573.0,612703.0,1674123.0,8163328.0,4395419.0,12558747.0,5455000.0,967795.0,13533993.0,19956788.0,32515535.0
