Punto de Entrada,Nombre Formulario,NIT,Fecha de Corte,El Máximo Órgano Social aprobó distribuir utilidades del ejercicio inmediatamente anterior,Valor de las utilidades decretadas en miles de pesos (ejercicio inmediatamente anterior),Razón social de la sociedad,Objeto social principal,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Corte de cuentas según estatutos,Fecha de constitución (Aaaa-Mm-Dd),Fecha de vencimiento (Aaaa-Mm-Dd),Estado actual,Tipo societario,La sociedad es,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección de notificación judicial,Ciudad de la dirección de notificación judicial,Dirección del domicilio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Teléfono del domicilio,Celular corporativo,E-mail de la sociedad,Matricula mercantil número,Domicilio casa matriz sucursal de sociedad extranjera,País del domicilio casa matriz sucursal de sociedad extranjera,La compañía está obligada a tener Revisor fiscal?,El Revisor fiscal pertenece a una firma?,A que firma pertenece el Revisor Fiscal?,Los estados finacieros estan acompañados del dictamen del Revisor fiscal?,Concepto del Revisor fiscal en su informe,Estos estados financieros presentan información reexpresada?,La información reexpresada corresponde a:,Reexpresión según normatividad que aplique,"La Entidad posee inversiones en subsidiarias, asociadas y/o negocios conjuntos?"
Plenas-Individuales,Carátula,800251163,2020-03-31,SI,0.0,OLEODUCTO CENTRAL SA,"LA ACTIVIDAD PRINCIPAL DE OCENSA ES EL TRANSPORTE DE PETROLEO CRUDO POR OLEODUCTOS, EN VIRTUD DE LO CUAL PODRA REALIZAR POR CUENTA PROPIA, DE TERCEROS, O ASOCIADA A TERCEROS, TANTO EN EL PAIS COMO EN EL EXTRANJERO LAS SIGUIENTES ACTIVIDADES: DISEÑAR, CONSTRUIR, OPERAR, ADMINISTRAR, EXPLOTAR COMERCIALMENTE Y SER PROPIETARIO DE UN SISTEMA DE TRANSPORTE DE PETTROLEO DE USO PUBLICO E INSTALACIONES RELACIONADAS SIN LIMITACION ALGUNA CUYO PUNTO DE PARTIDA ESTA LOCALIZADO EN LAS ESTACIONES DE CUPIAGUA Y CUSIANA",H4930 - Transporte por tuberías,04. TRIMESTRAL,1994-12-16,2093-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,3250200,3124574459,notificaciones.judiciales@ocensa.com.co,626260,,,SI,SI,ERNST & YOUNG AUDIT S A S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800068713,2020-06-30,SI,178302133.0,OLEODUCTO DE COLOMBI S.A.,"La proyeccion,construccion y ejercicio de las actividades propias del funcionamiento y explotacion comercial de un sistema de oleoducto de uso privado",H4930 - Transporte por tuberías,02. SEMESTRAL,1989-07-10,2040-07-10,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 113 NO 7 - 80 PISO 13,BOGOTA D.C.,BOGOTA D.C.,CALLE 113 NO 7 - 80 PISO 13,BOGOTA D.C.,BOGOTA D.C.,3198800,3108538176,notificaciones.judiciales@oleoductodecolombia.com,381639,,,SI,SI,Ernst & Young S.A.S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800251163,2020-06-30,SI,1375353513.0,OLEODUCTO CENTRAL SA,"LA ACTIVIDAD PRINCIPAL DE OCENSA ES EL TRANSPORTE DE PETROLEO CRUDO POR OLEODUCTOS, EN VIRTUD DE LO CUAL PODRA REALIZAR POR CUENTA PROPIA, DE TERCEROS, O ASOCIADA A TERCEROS, TANTO EN EL PAIS COMO EN EL EXTRANJERO LAS SIGUIENTES ACTIVIDADES: DISEÑAR, CONSTRUIR, OPERAR, ADMINISTRAR, EXPLOTAR COMERCIALMENTE Y SER PROPIETARIO DE UN SISTEMA DE TRANSPORTE DE PETTROLEO DE USO PUBLICO E INSTALACIONES RELACIONADAS SIN LIMITACION ALGUNA CUYO PUNTO DE PARTIDA ESTA LOCALIZADO EN LAS ESTACIONES DE CUPIAGUA Y CUSIANA",H4930 - Transporte por tuberías,04. TRIMESTRAL,1994-12-16,2093-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,3250200,3124574459,notificaciones.judiciales@ocensa.com.co,626260,,,SI,SI,ERNST & YOUNG AUDIT S A S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,830078038,2020-06-30,NO,,CERREJON ZONA NORTE S.A.,"EXPLORACION, EXPLOTACION, BENEFICIO Y COMERCIALIZACION DE CARBON MINERAL Y OTROS MINERALES ASOCIADOS O NO CON EL CARBON ",B0510 - Extracción de hulla (carbón de piedra),02. SEMESTRAL,2000-10-23,2050-10-23,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AC 100 No 19 - 54  P12,BOGOTA D.C.,BOGOTA D.C.,AC 100 No 19 - 54  P12,BOGOTA D.C.,BOGOTA D.C.,5955555,5715955555,notificaciones.judiciales@cerrejon.com,1396112,,,SI,SI,DELOITTE & TOUCHE LTDA,SI,03. LIMPIO,NO,,,
Plenas-Individuales,Carátula,900640173,2020-06-30,NO,,EXITO VIAJES Y TURISMO SAS,Agencia de viajes,N7911 - Actividades de las agencias de viaje,02. SEMESTRAL,2013-09-15,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 36 D SUR 27 A  105 LOCAL 164B,ANTIOQUIA,ENVIGADO-ANTIOQUIA,CL 36 D SUR 27 A  105 LOCAL 164B,ANTIOQUIA,ENVIGADO-ANTIOQUIA,6049616,3163272357,maria.hernandez@viajesexito.com,163465,,,SI,SI,Ernst & Young Audit S.A.S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800251163,2020-09-30,SI,1406308360.0,OLEODUCTO CENTRAL SA,"LA ACTIVIDAD PRINCIPAL DE OCENSA ES EL TRANSPORTE DE PETROLEO CRUDO POR OLEODUCTOS, EN VIRTUD DE LO CUAL PODRA REALIZAR POR CUENTA PROPIA, DE TERCEROS, O ASOCIADA A TERCEROS, TANTO EN EL PAIS COMO EN EL EXTRANJERO LAS SIGUIENTES ACTIVIDADES: DISEÑAR, CONSTRUIR, OPERAR, ADMINISTRAR, EXPLOTAR COMERCIALMENTE Y SER PROPIETARIO DE UN SISTEMA DE TRANSPORTE DE PETTROLEO DE USO PUBLICO E INSTALACIONES RELACIONADAS SIN LIMITACION ALGUNA CUYO PUNTO DE PARTIDA ESTA LOCALIZADO EN LAS ESTACIONES DE CUPIAGUA Y CUSIANA",H4930 - Transporte por tuberías,04. TRIMESTRAL,1994-12-16,2093-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,CRA 11 No 84-09 PISO 10,BOGOTA D.C.,BOGOTA D.C.,3250200,3124574459,notificaciones.judiciales@ocensa.com.co,626260,,,SI,SI,ERNST & YOUNG AUDIT S A S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800000755,2020-12-31,NO,,COLOMBIANA DE TURISMO Y EXPRESOS SA,SERVICIO DE TRANSPORTE ESPECIAL DE PASAJEROS,H4921 - Transporte de pasajeros,01. ANUAL,2018-01-01,2020-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 158 No. 111 98,BOGOTA D.C.,BOGOTA D.C.,CALLE 158 No. 111 98,BOGOTA D.C.,BOGOTA D.C.,7447413,3203025378,administracion@colturex.com,275639,,,SI,SI,TCA ASESORES,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800000946,2020-12-31,NO,,PROCTER & GAMBLE COLOMBIA LTDA,"Manufactura importacion, exportacion, compra, venta, distribucion y en general comercializacion de productos de consumo masivo",G4669 - Comercio al por mayor de otros productos n.c.p.,01. ANUAL,1987-02-10,2086-02-10,ACTIVA,03. SOCIEDAD LIMITADA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,Carrera 7 numero 114 - 33 Piso 12,BOGOTA D.C.,BOGOTA D.C.,Carrera 7 numero 114 - 33 Piso 12,BOGOTA D.C.,BOGOTA D.C.,5208000,5208000000,pardo.ja.1@pg.com,386728,,,SI,SI,Deloitte & Touche,SI,03. LIMPIO,SI,1. Modificación información corte anterior,,NO
Plenas-Individuales,Carátula,800001351,2020-12-31,NO,,DANADOR S.A.S.,"INVERSION EN ACCIONES O DERECHOS EN SOCIEDADES DE CUALQUIER NATURALEZA PARA PROCURAR SU RENTABILIDAD, INVERSION EN TODA CLASE DE ACTIVOS FIJOS, ESPECIALMENTE EN BIENES INMUEBLES DEL SECTOR RURAL PARA ALCANZAR SU RENTABILIDAD","K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,2009-08-14,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 23N No. 4N50 PISO 8,VALLE,CALI-VALLE,CR 4 CL 6 ESQUINA,CAUCA,GUACHENE-CAUCA,6608252,3175132423,larias@dimeq.com,110386,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800003267,2020-12-31,SI,1200000000.0,INTERGRAFIC DE OCCIDENTE SA,ARTES GRAFICAS,C1811 - Actividades de impresión,01. ANUAL,1987-03-27,2050-03-17,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AV 6 OESTE 5 163 T 5 1110,VALLE,CALI-VALLE,CALLE 1 TV 0 115,VALLE,PALMIRA-VALLE,6669696,3146204480,CONTABILIDAD@INTERGRAFIC.COM.CO,191716-4,,,SI,SI,ZUMA CONSULTORES,SI,03. LIMPIO,NO,,,NO
