customer,ref_product,total_spent
1,F17,54.87
2,I10,81.45
3,C6,215.01
4,B6,114.8
5,J16,143.9
6,C11,430.01
7,E4,219.65
8,A4,96.51
9,H3,89.57
10,F18,109.74
11,H18,89.57
12,K3,250.77
13,K9,250.77
14,F1,54.87
15,J4,143.9
16,D2,98.75
17,H7,179.15
18,D2,98.75
19,H19,89.57
20,G6,168.01
21,J9,143.9
22,J5,143.9
23,K9,501.54
24,F19,54.87
25,E13,439.29
26,D18,98.75
27,H13,89.57
28,I15,81.45
29,H17,89.57
30,A15,193.02
31,I16,81.45
32,B17,229.6
33,E12,219.65
34,K5,250.77
35,F1,54.87
36,H2,89.57
37,C11,107.5
38,C8,107.5
39,K8,250.77
40,D7,98.75
41,B9,114.8
42,E18,219.65
43,G11,504.04
44,A4,193.02
45,B8,114.8
46,H15,89.57
47,D6,98.75
48,B6,114.8
49,J18,287.81
50,D14,395.0
51,J2,143.9
52,F7,109.74
53,K18,250.77
54,F17,54.87
55,H17,89.57
56,K17,250.77
57,G3,168.01
58,H11,89.57
59,F15,54.87
60,B1,114.8
61,A3,96.51
62,G6,168.01
63,J18,143.9
64,F7,54.87
65,E8,439.29
66,B15,114.8
67,G1,336.03
68,D2,98.75
69,D1,98.75
70,I14,81.45
71,F18,54.87
72,E3,439.29
73,C14,107.5
74,A15,96.51
75,C15,107.5
76,A19,96.51
77,H1,89.57
78,D10,395.0
79,H16,268.72
80,A11,96.51
81,F7,54.87
82,A8,96.51
83,I2,244.34
84,A2,386.04
85,H6,89.57
86,D17,98.75
87,E6,439.29
88,B15,114.8
89,I1,162.89
90,J2,143.9
91,F9,54.87
92,I15,162.89
93,H16,358.3
94,C1,107.5
95,A10,96.51
96,J13,143.9
97,K6,250.77
98,D6,98.75
99,F19,54.87
