id_lote,tipo_cultivo,departamento,region,fertilizante_kg_ha,proveedor_semilla,latitud,longitud,campaña,area_ha,produccion_ton
1,maíz,Valle del Cauca,Pacífica,165.6,Corteva,3.982793,-76.745858,2024A,22.5,136.12
2,arroz,Tolima,Andina,203.3,Corteva,3.91019,-75.097935,2024A,28.9,180.34
3,soya,Córdoba,Caribe,78.0,Local,8.120262,-75.552001,2024B,31.6,102.7
4,arroz,Tolima,Andina,202.0,Agrosavia,4.039995,-75.262807,2025A,19.4,109.42
5,arroz,Tolima,Andina,295.5,Bayer,3.864779,-74.957941,2024A,29.0,219.53
6,soya,Casanare,Orinoquía,122.8,Bayer,5.704701,-71.838534,2024A,20.7,80.32
7,maíz,Bolívar,Caribe,168.6,Syngenta,8.775182,-73.870205,2024B,31.2,159.74
8,maíz,Sucre,Caribe,170.0,Bayer,9.480198,-75.484051,2023A,25.7,133.9
9,soya,Córdoba,Caribe,88.3,Local,7.862491,-75.587645,2023B,28.8,66.53
10,maíz,Sucre,Caribe,185.3,Local,9.452542,-75.382132,2025A,16.4,54.12
11,maíz,Córdoba,Caribe,176.0,Agrosavia,7.78019,-75.716066,2024B,15.8,70.78
12,arroz,Meta,Orinoquía,263.5,Bayer,3.176643,-72.995312,2023A,33.5,250.58
13,maíz,Atlántico,Caribe,171.8,Local,10.630391,-74.644828,2023B,23.2,96.05
14,arroz,Atlántico,Caribe,193.3,Local,10.634911,-75.01851,2024B,26.9,127.24
15,maíz,Caquetá,Amazonía,157.1,Local,1.313169,-75.799256,2024B,20.9,85.9
16,soya,Meta,Orinoquía,86.0,Corteva,3.265752,-73.298062,2025A,33.0,126.39
17,maíz,Nariño,Pacífica,158.4,Local,1.538323,-77.104963,2023B,17.9,66.23
18,arroz,Santander,Andina,254.8,Local,6.661637,-73.744226,2025A,22.6,128.37
19,arroz,Magdalena,Caribe,227.4,Local,10.246656,-74.294001,2024B,31.9,180.87
20,arroz,Tolima,Andina,231.2,Bayer,4.133443,-74.919214,2024B,35.7,224.55
21,arroz,Casanare,Orinoquía,188.7,Bayer,5.602814,-71.461225,2024B,18.8,133.67
22,arroz,Meta,Orinoquía,256.4,Local,3.607839,-73.00241,2023A,43.6,262.47
23,soya,Cesar,Caribe,65.2,Local,9.56561,-73.577192,2025A,27.1,65.58
24,arroz,Santander,Andina,259.6,Syngenta,6.629822,-73.592193,2023A,13.6,84.46
25,maíz,Atlántico,Caribe,259.6,Local,10.690385,-75.047443,2023B,27.7,124.65
26,soya,Meta,Orinoquía,125.2,Bayer,3.357183,-73.100809,2025A,20.2,87.87
27,maíz,Nariño,Pacífica,226.3,Syngenta,1.196866,-77.23008,2024B,28.3,140.65
28,maíz,Magdalena,Caribe,200.1,Bayer,10.475702,-74.304759,2025A,23.6,117.06
29,maíz,Magdalena,Caribe,220.5,Corteva,10.457597,-74.401392,2024A,24.7,142.02
30,maíz,Casanare,Orinoquía,208.9,Local,5.702152,-71.435786,2024A,14.9,84.48
31,arroz,Valle del Cauca,Pacífica,227.4,Corteva,3.865215,-76.715916,2025A,33.9,210.52
32,maíz,Meta,Orinoquía,199.8,Syngenta,3.143245,-72.965372,2023A,12.4,70.06
33,arroz,Cesar,Caribe,320.0,Bayer,9.486478,-73.650874,2025A,12.9,98.17
34,maíz,Córdoba,Caribe,205.5,Syngenta,8.140198,-75.418164,2023B,27.7,146.53
35,arroz,Valle del Cauca,Pacífica,233.4,Bayer,4.028853,-76.573387,2025A,40.0,302.8
36,maíz,Cesar,Caribe,254.1,Syngenta,9.417187,-73.514166,2023A,20.5,114.18
37,arroz,Casanare,Orinoquía,186.0,Corteva,5.524865,-71.294648,2024B,31.0,171.12
38,arroz,Meta,Orinoquía,285.3,Corteva,3.095328,-73.004521,2025A,34.7,258.52
39,soya,Meta,Orinoquía,120.7,Bayer,3.502497,-73.198424,2024A,32.1,101.12
40,maíz,Santander,Andina,262.0,Syngenta,6.606238,-73.74234,2024B,20.9,122.89
41,arroz,Bolívar,Caribe,188.1,Local,8.931859,-73.964837,2025A,13.1,72.44
42,soya,Arauca,Orinoquía,123.1,Bayer,7.080238,-70.740581,2024B,3.0,11.37
43,maíz,Valle del Cauca,Pacífica,240.9,Syngenta,3.847992,-76.639114,2025A,21.4,137.82
44,soya,Bolívar,Caribe,113.6,Agrosavia,8.646974,-74.012541,2024A,35.8,104.18
45,maíz,Cesar,Caribe,222.1,Syngenta,9.476022,-73.53353,2023B,12.8,64.64
46,arroz,Arauca,Orinoquía,230.6,Corteva,7.05753,-70.910289,2023A,31.0,213.9
47,maíz,Tolima,Andina,164.8,Local,4.19314,-74.997443,2023B,14.5,70.47
48,arroz,Meta,Orinoquía,169.3,Agrosavia,3.14268,-73.12612,2023A,25.1,128.51
49,maíz,Arauca,Orinoquía,187.9,Corteva,7.075325,-70.532895,2024B,31.1,164.21
50,maíz,Santander,Andina,224.3,Syngenta,6.684037,-73.651333,2023B,17.4,97.96
51,soya,Meta,Orinoquía,140.5,Agrosavia,3.19425,-72.752906,2023A,25.7,94.32
52,maíz,Cesar,Caribe,250.7,Agrosavia,9.18615,-73.761491,2023A,19.8,102.76
53,soya,Casanare,Orinoquía,70.9,Corteva,5.933594,-71.438847,2025A,31.1,116.94
54,maíz,Valle del Cauca,Pacífica,228.4,Local,3.492536,-76.397603,2024B,26.4,145.73
55,maíz,Nariño,Pacífica,100.0,Local,1.279213,-77.31121,2024A,24.6,80.44
56,maíz,Nariño,Pacífica,183.4,Local,1.097028,-77.383528,2025A,39.6,182.95
57,maíz,Nariño,Pacífica,238.1,Syngenta,1.234504,-77.31428,2023A,30.6,156.98
58,maíz,Arauca,Orinoquía,246.4,Agrosavia,7.399961,-70.806514,2025A,17.1,115.08
59,arroz,Tolima,Andina,254.9,Local,4.014443,-75.216116,2024B,23.1,150.84
60,arroz,Meta,Orinoquía,178.4,Corteva,3.401158,-72.817276,2023B,23.2,146.16
61,maíz,Valle del Cauca,Pacífica,179.1,Local,3.750251,-76.940945,2024B,24.8,138.14
62,maíz,Nariño,Pacífica,161.9,Corteva,1.120022,-77.450396,2024B,49.2,243.05
63,maíz,Atlántico,Caribe,142.5,Local,10.54981,-74.974725,2024A,27.7,102.21
64,arroz,Meta,Orinoquía,205.4,Syngenta,3.278347,-73.213651,2025A,3.6,27.04
65,maíz,Atlántico,Caribe,208.5,Bayer,10.564046,-74.769789,2023B,18.6,95.23
66,arroz,Tolima,Andina,187.2,Corteva,4.047674,-75.05072,2023B,4.7,33.18
67,soya,Casanare,Orinoquía,122.4,Bayer,5.613009,-71.735218,2023A,20.7,58.58
68,arroz,Valle del Cauca,Pacífica,202.9,Syngenta,3.959595,-76.642735,2023B,4.1,30.5
