,Ganancia bruta,Ganancia (pérdida),Ingresos de actividades ordinarias,Costo de ventas,Patrimonio total,Total pasivos,Total de activos,Ganancias acumuladas,Pasivos corrientes totales,Activos corrientes totales,event,Sector
0,2204034.6666666665,-172877.0,6240172.333333333,4036137.6666666665,2842086.0,2333402.6666666665,5175488.666666667,969613.6666666666,1393518.0,2624025.333333333,0.0,C
1,1862384.3333333333,436544.3333333333,7505180.333333333,5642796.0,2514738.333333333,2838038.333333333,5352776.666666667,1424944.0,2835373.6666666665,4294890.0,0.0,M
2,4847356.0,2499632.6666666665,5250102.666666667,604120.0,22857899.33333333,5997674.666666667,28855574.0,22777653.33333333,4602900.666666667,28825312.666666668,0.0,N
3,3010297.333333333,432482.0,10239048.333333334,7228751.0,2448524.6666666665,1400531.3333333333,3849056.0,1695431.6666666667,1400531.3333333333,3714113.3333333335,0.0,G
4,2676592.0,283628.0,9273370.0,6596778.0,37464141.0,20259516.0,57723657.0,32903841.0,4471551.0,6261903.0,1.0,A
5,-73001.0,-225309.0,287365.0,360366.0,1831897.0,4297547.0,6129444.0,1015804.0,4297547.0,4194993.0,1.0,C
6,1700826.0,-1664120.6666666667,12503419.0,10802593.0,5453398.666666667,4503892.666666667,9957291.333333334,2826756.0,4483583.666666667,9602333.333333334,0.0,G
7,794459.0,161156.33333333334,794459.0,0.0,183456161.0,30382708.666666668,213838869.66666663,180532488.0,28790878.0,206673708.0,0.0,K
8,3184193.6666666665,3016357.333333333,20534567.33333333,17350373.666666668,31319526.33333333,9930307.333333334,41249833.66666666,29368191.33333333,9930307.333333334,34007305.333333336,0.0,H
9,522369.6666666667,-243885.66666666663,522369.6666666667,,11837721.333333334,3285646.6666666665,15123368.0,11830221.333333334,2041615.3333333333,5993157.333333333,0.0,L
10,6201905.333333333,174265.66666666666,12668346.666666666,6466441.333333333,3066290.0,6745399.0,9811689.0,1739648.6666666667,6298290.333333333,9454090.666666666,0.0,G
11,6354724.666666667,442776.3333333333,13024711.0,6669986.333333333,5268741.333333333,2225346.333333333,7494087.666666667,3929287.6666666665,1901346.3333333333,6075680.666666667,0.0,C
12,2051839.6666666667,4008676.3333333335,2353863.6666666665,302024.0,14843775.666666666,13969361.333333334,28813137.0,8504147.0,8401148.333333334,9283241.0,0.0,J
13,854037.3333333334,383169.0,6777433.333333333,5923396.0,3013162.6666666665,622513.3333333334,3635676.0,2549773.6666666665,538768.6666666666,1182263.3333333333,0.0,G
14,8037389.666666667,1463376.3333333333,15787680.333333334,7750290.666666667,5212280.333333333,8403129.333333334,13615409.666666666,3722792.3333333335,8359709.0,12254211.666666666,0.0,G
15,3446089.6666666665,167502.33333333334,11734902.666666666,8288813.0,4120794.0,6497948.666666667,10618742.666666666,2626205.6666666665,3717886.3333333335,6851629.0,0.0,G
16,2048444.0,202157.3333333333,6497691.333333333,4449247.333333333,1011557.0,946214.3333333334,1957771.3333333333,786557.0,946214.3333333334,1774453.0,0.0,G
17,11791146.333333334,902190.6666666666,13171640.0,1380493.6666666667,11049349.333333334,8746054.666666666,19795404.0,6346247.666666667,3178703.333333333,1737566.3333333333,0.0,R
18,4680826.0,894766.6666666666,35801855.333333336,31121029.33333333,9057268.666666666,19395661.666666668,28452930.33333333,4451452.0,10157949.333333334,18887168.0,0.0,F
19,1352461.6666666667,228610.66666666663,10757323.0,9404861.333333334,61184367.0,26694122.666666668,87878489.66666667,40151721.66666666,9868210.333333334,25708237.33333333,0.0,F
20,7639475.0,1798100.0,23561468.0,15921993.0,20205311.0,11100326.0,31305637.0,13913430.666666666,8745986.333333334,11820626.666666666,0.0,C
21,559796.0,123300.66666666669,7968959.333333333,7409163.333333333,1181209.6666666667,2129560.333333333,3310770.0,63634.0,1629153.6666666667,3068574.0,0.0,C
22,1584923.0,88718.33333333333,2801752.6666666665,1216829.6666666667,7050833.666666667,6444883.666666667,13495717.333333334,4171769.6666666665,1957526.6666666667,5638026.0,0.0,N
23,3066923.6666666665,553787.0,9758207.0,6691283.333333333,2095212.6666666667,2267012.0,4362224.666666667,1855207.3333333333,2077536.6666666667,3507719.6666666665,0.0,A
24,302017.6666666667,22758.666666666668,303376.6666666667,2038.5,949509.6666666666,3129296.333333333,4078806.0,844509.6666666666,706827.6666666666,184040.3333333333,0.0,L
25,48946136.333333336,-1013159.6666666666,330472486.6666667,281526350.3333333,48564752.0,105361980.66666669,153926732.66666666,31418134.0,54169709.0,56410889.0,0.0,A
26,4529895.333333333,219040.66666666663,25946528.33333333,21416633.0,3931908.0,5397964.0,9329872.0,2214156.333333333,3494347.0,6404669.0,0.0,C
27,3885343.6666666665,680079.6666666666,8635485.333333334,4750141.666666667,9780585.666666666,5811556.666666667,15592142.333333334,8020149.666666667,4058757.6666666665,6464115.333333333,0.0,G
28,9532548.666666666,153226.66666666666,56859325.0,47326776.333333336,15728636.333333334,34305172.666666664,50033809.0,7976634.666666667,17683495.333333332,27078957.0,0.0,G
29,2272980.0,42696.66666666666,5258212.0,2985232.0,6553710.666666667,4116525.0,10670235.666666666,5587439.666666667,2163701.0,2200741.333333333,0.0,N
30,6199525.666666667,-161484.66666666666,9593313.333333334,3393787.6666666665,160206.0,3328106.333333333,3488312.333333333,-762654.0,2302125.6666666665,1054938.6666666667,0.0,I
31,356159.6666666667,82539.33333333333,356159.6666666667,,2910269.6666666665,1205453.6666666667,4115723.3333333335,1307542.3333333333,1015917.5,1428848.0,0.0,L
32,5612247.0,1429992.3333333333,24689994.33333333,19077747.33333333,5119009.0,6130636.0,11249645.0,2118177.0,5675163.0,10524314.333333334,0.0,C
33,4079858.0,358159.0,8040670.333333333,3960812.3333333335,2128935.6666666665,1636010.3333333333,3764946.0,860609.6666666666,1485909.6666666667,3621407.0,0.0,C
34,1140993.6666666667,156656.66666666666,4537385.0,3396391.333333333,3881882.3333333335,344025.0,4225907.333333333,3781882.3333333335,341033.5,3671850.3333333335,0.0,G
35,430638.0,1669978.0,430638.0,,8333819.333333333,643180.0,8976999.333333334,7462176.666666667,203032.0,2260914.0,0.0,L
36,761952.6666666666,-36355.0,2202077.0,1440124.3333333333,39122424.333333336,6884909.333333333,46007333.66666666,38508437.333333336,166857.33333333334,5263267.333333333,0.0,A
37,2861528.0,246067.0,7406207.333333333,4544679.333333333,3373143.0,16890094.666666668,20263237.666666668,1676085.6666666667,7027766.666666667,17464773.0,0.0,N
38,12273158.666666666,210629.0,40154494.333333336,27881335.666666668,7315276.333333333,17610045.0,24925321.33333333,941876.3333333334,17499707.333333332,21994561.33333333,0.0,G
39,1707289.0,220465.0,37599094.0,35891805.0,3415606.0,2537232.333333333,5952838.333333333,3265606.0,1552072.6666666667,1981610.3333333333,0.0,G
40,660146.0,613444.6666666666,2413879.0,1753733.0,13798903.666666666,1184774.3333333333,14983678.0,2389769.6666666665,493298.0,4356122.666666667,0.0,A
41,5368706.0,1345688.6666666667,51491455.66666666,46122749.66666666,10698272.333333334,14618208.333333334,25316480.666666668,3127775.6666666665,7309968.0,17063502.333333332,0.0,N
42,495026.0,-1074776.3333333333,2407376.333333333,1912350.3333333333,4450663.333333333,10008290.333333334,14458953.666666666,-762517.0,3367776.6666666665,13183765.666666666,0.0,G
43,5842434.0,249491.0,11706949.0,5864515.0,1781062.0,1025480.3333333334,2806542.333333333,1664546.0,944148.6666666666,1880570.0,0.0,I
44,4553109.666666667,2003968.3333333333,15126076.666666666,10572967.0,21478179.0,19536042.666666668,41014221.66666666,9660865.666666666,10670872.333333334,5904300.666666667,0.0,A
