id-book,book-price
SS13411,29.68
ECON30303,56.96
SF42313,20.63
ECON22403,49.56
TECH04023,40.56
TECH33313,32.5
SF21304,23.52
ECON01302,47.04
NAT22220,37.97
SS22213,29.03
O01001,10.97
TECH33442,40.47
SS32023,32.22
SF01401,22.89
SF21220,21.3
SF43222,19.97
ECON22023,42.12
TECH12343,29.24
SF41204,22.79
SF11301,20.14
TECH14413,45.06
ECON24043,50.68
ECON11401,56.82
ECON32200,54.54
ECON03242,50.31
SS20204,28.5
TECH04310,41.94
TECH44443,38.97
TECH20212,34.46
TECH04110,37.06
NAT32124,36.66
SF13403,22.64
TECH44441,35.08
SS12414,27.64
TECH40242,44.06
SF22212,20.11
ECON01420,44.5
ECON00424,57.46
SF23344,22.6
TECH21242,35.6
NAT23211,39.18
TECH20111,38.84
NAT23142,36.78
ECON41410,46.86
ECON24204,47.95
SF22230,24.18
SF12141,24.34
ECON24243,64.1
NAT21412,32.93
ECON12003,56.12
TECH00222,40.54
ECON21143,52.38
NAT24322,35.0
SF10440,23.45
O11304,9.17
TECH21133,45.25
O40010,8.87
SF11131,21.16
SF32141,21.87
ECON10123,43.16
TECH43043,43.27
TECH14003,46.01
SS22400,31.46
ECON03014,45.45
SS13010,25.39
ECON34034,63.22
ECON30230,66.47
SF32144,23.99
NAT42400,40.84
SF21424,23.57
SF12300,20.57
TECH30224,41.22
SS40002,28.97
ECON13211,50.69
O04140,12.16
NAT02444,35.16
ECON03012,46.45
TECH00012,34.93
SS22300,30.6
ECON12430,46.45
ECON33412,40.75
ECON03401,47.51
SF20202,21.89
ECON04041,50.33
ECON02313,49.09
ECON31403,45.85
TECH10241,40.43
TECH30214,40.37
O14024,9.03
SS31004,30.29
SF30044,23.51
SS41244,27.87
NAT41130,34.71
SS23031,28.1
NAT43220,39.76
NAT21232,30.78
SF33410,21.82
TECH34220,34.05
ECON11331,52.61
SS11002,29.59
SS01130,33.33
TECH11042,36.98
NAT30211,40.29
NAT34224,34.61
SS13031,28.0
ECON00000,45.62
TECH22111,38.6
ECON33002,49.54
TECH02133,36.0
SF24224,21.02
TECH21414,43.66
SF43112,22.1
TECH21402,45.44
NAT32420,39.08
O30133,10.32
SF41013,22.09
SF10141,23.38
SF12223,22.09
SF30030,22.86
TECH01333,42.64
NAT04443,34.36
NAT12020,44.2
ECON32134,53.79
SF21330,19.31
ECON14430,57.6
SF10313,19.7
O24012,10.93
TECH21333,35.14
ECON32312,42.95
SF33122,22.17
SF20242,24.74
ECON42140,50.43
TECH21243,38.1
ECON14002,43.7
NAT11440,41.22
TECH10311,42.01
NAT10322,35.0
SF04114,21.69
ECON14204,56.61
SF40424,24.85
TECH40330,42.13
ECON33004,49.63
ECON00140,46.62
ECON04440,46.46
SS02421,35.36
SF24444,22.32
ECON03041,51.77
ECON04003,59.58
O13430,8.02
ECON12330,60.58
ECON23030,44.83
TECH01330,34.35
NAT34424,32.41
SF30023,19.03
TECH32041,43.38
O31033,10.6
ECON12020,55.65
ECON22241,44.24
TECH11000,42.29
SF34312,22.71
ECON43333,48.84
ECON13030,56.05
O24324,9.27
SF32032,17.46
SF21332,24.11
ECON43331,54.16
SS20201,28.44
TECH13202,40.04
ECON14211,49.65
NAT44031,35.66
TECH04223,41.42
SS02401,30.32
TECH40444,38.83
ECON00123,49.48
SS03134,25.4
TECH31200,37.24
ECON32332,46.38
ECON43121,49.38
SF22210,22.2
O41310,10.73
NAT03240,36.31
O40434,9.35
SF20123,23.86
SF42144,23.33
TECH31303,39.58
ECON30403,44.87
ECON24344,57.27
SS22024,28.09
ECON03233,52.47
ECON41344,45.14
TECH30244,42.37
NAT44043,35.78
TECH02013,42.38
TECH42432,38.45
ECON41041,59.28
ECON40304,49.8
O34330,10.2
ECON30212,53.22
TECH44032,46.5
SF33144,21.56
ECON21330,45.29
ECON10441,49.84
SF14444,18.73
SF24432,19.23
SS32021,36.14
TECH20221,40.52
SS24243,30.1
TECH04403,37.07
ECON34103,40.62
TECH34112,44.66
O12242,10.21
NAT14141,33.07
ECON31303,47.05
ECON40343,46.22
O43231,10.39
TECH33333,45.61
ECON01402,42.61
SS22002,30.94
ECON41242,47.55
TECH33424,35.53
O04231,9.11
NAT44343,43.34
SF23000,18.8
ECON22433,48.89
TECH03310,39.53
ECON34232,47.13
ECON04311,54.46
TECH01214,42.51
ECON22444,55.87
ECON44433,59.26
ECON20123,56.17
NAT44001,38.76
ECON43131,40.48
ECON43212,47.01
SS11330,31.86
SF12012,23.06
TECH04341,35.14
ECON22432,47.21
SF23043,23.44
SF24404,21.41
ECON30423,51.7
SS41241,30.96
NAT34131,36.48
ECON30301,54.02
ECON33422,47.32
SF32002,21.85
SF24000,21.75
O01223,8.73
TECH41111,32.76
TECH40110,38.03
ECON41430,38.73
SF04223,25.05
ECON44020,54.32
TECH42334,40.85
ECON34212,51.55
ECON33423,42.13
SS10434,38.01
ECON00113,55.46
ECON20304,49.6
ECON34320,52.95
ECON43224,42.96
SS11424,28.57
SF04211,22.4
SS10033,25.98
SF41411,19.68
O12003,9.14
O24242,9.63
SF41211,24.64
SF10133,22.79
ECON02303,52.12
TECH10200,33.6
TECH33114,38.03
SF44111,19.29
SS41120,30.9
ECON44133,47.51
SF30241,24.44
O33413,9.85
SS41031,27.48
ECON43443,56.47
SF23023,21.93
ECON32301,43.77
SF02133,18.66
O13100,9.87
O42444,10.45
ECON40132,50.65
ECON10320,46.26
O03404,9.99
NAT12343,33.39
ECON34042,45.13
TECH24021,32.44
ECON41213,48.29
SS12140,32.04
SS31430,29.51
SS04040,29.7
SF12222,25.3
SS13433,35.72
NAT03410,34.8
TECH12311,40.63
SF14224,26.4
O02422,8.76
ECON41124,41.06
SF01123,20.53
O20313,9.55
SS03031,34.7
ECON21012,44.85
ECON24334,44.03
ECON02320,67.25
SF24413,21.03
SF10302,22.72
ECON42244,51.89
SF00041,23.75
TECH10341,40.47
ECON00010,45.13
O20013,10.16
SF04021,23.04
SF42332,21.83
SS30043,29.39
ECON11420,56.29
TECH22043,35.79
TECH13230,43.05
TECH13421,41.16
TECH41220,42.98
TECH41240,38.42
TECH31224,43.04
ECON11424,52.0
SS44034,28.29
NAT23422,31.16
ECON30323,38.04
SF10223,21.73
TECH02404,36.66
TECH02320,38.11
ECON04331,45.7
ECON33303,49.13
SF42321,21.78
SF11042,23.89
TECH31020,36.44
TECH21031,41.91
SF20043,19.72
TECH10104,29.15
ECON20211,52.32
ECON24421,44.34
ECON00101,56.51
TECH21003,37.15
SF40204,21.24
SF00423,18.99
TECH22244,42.61
O00100,10.62
SS01104,31.05
ECON31014,53.56
TECH00232,34.85
NAT42333,37.68
TECH32013,36.57
O33033,11.28
SS22412,28.43
ECON32241,53.9
SF32311,23.17
O00423,8.66
TECH20020,35.63
SF43013,21.99
TECH32103,44.63
TECH34320,40.16
SF34320,23.88
ECON41202,48.53
TECH41042,38.45
ECON44401,55.01
SF23414,23.47
ECON03144,44.58
TECH00301,43.53
SF00243,23.79
ECON31433,42.52
TECH41140,42.59
SF24033,21.84
ECON10003,57.03
ECON11430,62.24
SF13320,24.54
TECH01201,35.37
TECH22311,30.64
NAT11134,34.42
TECH31114,46.35
SF43332,23.6
SF10413,20.03
SS24231,30.27
TECH22322,42.15
SF04401,21.16
TECH41312,40.92
O30111,8.38
ECON04144,38.56
TECH13002,39.01
SS44002,31.55
TECH43010,36.39
TECH34440,37.53
ECON42142,55.71
NAT22114,33.39
SF44122,23.82
SS31121,33.6
SF24321,21.53
SS23203,29.11
TECH03412,34.42
SF42003,23.25
ECON04044,46.45
ECON21313,46.62
SS04444,25.22
TECH31432,44.85
SF03321,22.99
ECON20104,48.99
SF43022,22.72
SF42243,20.66
TECH31001,43.75
SF04422,21.58
O10323,9.67
ECON00443,45.84
NAT03133,39.52
ECON13012,54.61
ECON43243,45.17
NAT04403,39.46
NAT41403,37.12
TECH33121,33.55
SF32142,25.55
ECON32013,51.89
NAT22212,34.72
NAT03204,30.6
NAT43211,34.73
ECON21310,49.68
SF43214,21.69
