product_id,delivery_date,execution_date,days_over_due
A,05-10-2024,27-11-2024,0
A,05-10-2024,28-12-2025,0
A,05-10-2024,29-01-2026,20
A,05-10-2024,27-02-2026,30
A,05-10-2024,28-03-2026,60
B,03-05-2024,28-03-2024,0
B,03-05-2024,29-04-2024,0
B,03-05-2024,30-05-2024,0
B,03-05-2024,28-06-2024,0
C,08-07-2024,29-08-2024,0
C,08-07-2024,30-09-2024,10
C,08-07-2024,29-10-2024,30
C,08-07-2024,27-11-2024,57
C,08-07-2024,31-12-2024,0
D,03-04-2024,28-04-2024,0
D,03-04-2024,29-05-2024,0
D,03-04-2024,28-06-2024,27
D,03-04-2024,27-07-2024,57
D,03-04-2024,29-08-2024,0
D,03-04-2024,27-09-2024,30
D,03-04-2024,28-10-2024,60
D,03-04-2024,28-11-2024,90
