id,months,offer,phone,multiple,internet_type,gb_mon,security,backup,protection,support,unlimited,contract,paperless,payment,monthly,total_revenue,satisfaction,churn_value,churn_score,cltv
8779-QRDMV,1,None,No,No,DSL,8,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,59.65,3,1,91,5433
7495-OOKFY,8,Offer E,Yes,Yes,Fiber Optic,17,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,1024.1,3,1,69,5302
1658-BYGOY,18,Offer D,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1910.88,2,1,81,3179
4598-XLKNJ,25,Offer C,Yes,No,Fiber Optic,12,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2995.07,2,1,88,5337
4846-WHAFZ,37,Offer C,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,3102.36,2,1,67,2793
4412-YLTKF,27,Offer C,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2235.41,1,1,95,4638
0390-DCFDQ,1,Offer E,Yes,No,Fiber Optic,30,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,85.73,2,1,76,3964
3445-HXXGF,58,Offer B,No,No,DSL,24,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2610.25,1,1,91,5444
2656-FMOKZ,15,Offer D,Yes,Yes,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1806.75,2,1,91,5717
2070-FNEXE,7,Offer E,Yes,No,Fiber Optic,18,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,681.2,2,1,81,4419
0094-OIFMO,11,Offer D,Yes,No,Fiber Optic,29,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1367.79,1,1,85,5980
9947-OTFQU,15,Offer D,Yes,No,Fiber Optic,29,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1510.9499999999998,1,1,86,4616
9514-JDSKI,1,Offer E,No,No,DSL,12,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,2,1,65,5828
7273-TEFQD,3,Offer E,No,No,DSL,28,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,2,1,96,2314
3606-TWKGI,13,Offer D,Yes,Yes,Cable,11,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1799.1399999999999,1,1,84,2494
4385-GZQXV,16,Offer D,Yes,No,Fiber Optic,9,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1662.08,1,1,81,3810
3488-PGMQJ,8,None,Yes,No,Fiber Optic,7,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,620.79,2,1,80,4345
7534-BFESC,24,Offer C,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,2453.58,2,1,91,2018
8098-LLAZX,4,Offer E,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,522.54,3,1,85,3677
0265-EDXBD,32,Offer C,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,3818.23,2,1,69,4105
2840-XANRC,24,Offer C,Yes,No,Cable,12,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2617.4500000000003,2,1,73,2212
5020-ZSTTY,54,Offer B,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,82.45,5002.42,1,1,83,4149
5804-LEPIM,2,Offer E,Yes,No,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,165.39000000000001,3,1,73,2671
0623-IIHUG,21,None,No,No,Cable,8,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,1,1,90,4778
9057-MSWCO,27,None,No,No,Cable,13,Yes,No,No,No,No,Month-to-Month,No,Credit Card,30.75,945.1,1,1,91,2927
4895-TMWIR,11,None,Yes,No,None,0,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,539.69,1,1,80,5888
0533-BNWKF,55,Offer B,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,7319.799999999999,1,1,91,5502
0334-GDDSO,3,Offer E,Yes,Yes,Fiber Optic,14,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,261.36,1,1,73,2818
5564-NEMQO,1,Offer E,Yes,No,Fiber Optic,17,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,130.39,2,1,67,4902
6235-VDHOM,5,Offer E,No,No,DSL,26,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,2,1,89,4099
5609-CEBID,20,None,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,2837.0,1,1,87,2666
5956-VKDTT,5,Offer E,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,563.6,1,1,82,5273
0257-ZESQC,27,None,Yes,No,Cable,25,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,2118.89,1,1,91,4517
2865-TCHJW,4,None,Yes,Yes,Cable,24,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,539.6,1,1,74,5808
5192-EBGOV,1,None,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,131.51,1,1,66,4880
3419-SNJJD,65,Offer B,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,7981.75,1,1,91,4196
4554-YGZIH,49,Offer B,Yes,Yes,Fiber Optic,14,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,90.05,5670.33,2,1,96,5059
5099-BAILX,43,Offer B,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,5312.259999999999,2,1,65,2728
4913-EHYUI,56,Offer B,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,8527.449999999999,1,1,91,6268
1626-ERCMM,20,None,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,2005.8500000000001,1,1,84,5604
5644-PDMZC,2,None,Yes,Yes,Fiber Optic,19,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.5,256.44,2,1,80,2065
4160-AMJTL,8,None,Yes,No,None,0,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,387.9,2,1,83,5432
0823-HSCDJ,52,None,No,No,DSL,18,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2580.9,2,1,90,5597
0067-DKWBL,2,None,Yes,No,DSL,27,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,179.07999999999998,2,1,95,3475
5244-IRFIH,33,None,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,4022.29,3,1,91,4333
2684-EIWEO,30,None,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,91.7,4134.55,1,1,90,2482
6683-VLCTZ,20,None,Yes,Yes,Fiber Optic,13,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,2851.6,3,1,92,5444
0691-IFBQW,46,None,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.0,4983.820000000001,1,1,81,2403
3643-AHCFP,7,None,Yes,Yes,Cable,11,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,797.72,3,1,83,3265
9231-ZJYAM,4,None,Yes,No,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,440.52,3,1,72,5301
0727-BMPLR,55,None,Yes,Yes,Fiber Optic,7,No,No,Yes,No,No,One Year,Yes,Bank Withdrawal,100.0,7665.200000000001,3,1,83,5679
0947-MUGVO,20,None,Yes,No,Fiber Optic,24,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1570.9,1,1,95,5849
0781-LKXBR,9,None,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,1356.99,1,1,70,4038
1907-UBQFC,10,None,Yes,No,Fiber Optic,24,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,773.25,1,1,91,3189
6513-EECDB,1,None,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,110.47,2,1,94,4369
7074-IEVOJ,3,None,Yes,Yes,Fiber Optic,11,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,330.75,1,1,91,3501
4750-ZRXIU,4,None,Yes,Yes,Cable,17,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,386.82000000000005,1,1,83,2467
7028-DVOIQ,35,None,Yes,Yes,Fiber Optic,19,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,4244.85,1,1,82,2074
4208-UFFGW,2,Offer E,Yes,No,DSL,11,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,138.39000000000001,2,1,84,5900
9889-TMAHG,8,None,Yes,No,Fiber Optic,27,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,100.3,924.9100000000001,1,1,74,5084
8919-FYFQZ,44,None,No,No,Cable,28,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,1,1,96,4829
