cliente_id,compra_id,gasto
6,1020,72.34
9,1024,88.48
8,1001,104.28
7,1030,120.55
6,1003,94.15
10,1027,105.22
10,1010,94.15
18,1012,109.03
5,1003,104.92
11,1011,79.79
1,1030,122.89
25,1036,139.12
19,1038,90.2
23,1010,113.56
24,1033,83.08
7,1025,108.22
5,1025,87.46
17,1014,133.91
24,1033,83.08
24,1011,106.05
3,1000,77.3
25,1020,94.51
6,1025,92.47
16,1033,34.51
9,1028,83.87
23,1033,102.43
16,1004,120.56
7,1000,82.45
19,1001,94.14
11,1027,119.19
1,1027,85.94
2,1006,50.31
13,1037,99.1
11,1027,119.19
21,1026,84.98
11,1017,69.48
11,1029,74.68
9,1032,107.86
8,1024,52.17
3,1024,98.2
16,1003,124.22
15,1014,124.39
17,1003,125.77
17,1025,102.29
8,1035,86.39
9,1007,86.76
7,1010,88.02
7,1025,108.22
22,1009,106.53
21,1025,115.29
10,1029,138.45
21,1028,146.31
11,1032,108.28
15,1005,79.02
8,1004,102.18
11,1001,118.46
4,1022,138.08
4,1039,92.27
23,1002,97.11
8,1020,109.04
22,1023,136.95
19,1013,92.52
3,1015,120.31
3,1038,108.1
13,1026,95.36
19,1034,55.92
14,1038,126.43
9,1007,86.76
19,1039,51.01
1,1032,63.41
20,1017,108.93
19,1029,91.81
6,1028,71.23
2,1031,107.4
11,1017,69.48
3,1038,108.1
16,1018,64.38
3,1019,87.04
7,1020,88.26
20,1021,100.13
7,1020,88.26
4,1007,63.04
19,1029,91.81
17,1037,108.59
25,1005,84.96
18,1034,136.64
19,1027,123.28
3,1014,112.42
13,1026,95.36
2,1004,125.09
5,1036,101.69
12,1019,88.41
11,1001,118.46
12,1030,94.36
24,1024,90.37
24,1011,106.05
1,1006,73.56
18,1038,99.66
7,1000,82.45
3,1034,88.36
22,1027,96.54
6,1038,112.83
1,1025,139.48
16,1016,56.88
18,1028,70.09
8,1035,86.39
3,1011,109.39
5,1025,87.46
15,1031,102.77
3,1011,109.39
22,1023,136.95
8,1024,52.17
6,1023,66.8
14,1029,82.0
23,1026,116.19
11,1011,79.79
3,1009,64.69
25,1005,84.96
10,1007,92.71
18,1028,70.09
