id-product,id-client,quantities
C7,701,1
C7,702,1
C7,703,2
C7,704,1
C7,705,1
C7,706,1
C7,707,1
C7,708,1
C7,709,1
C7,710,1
C7,711,1
C7,712,2
C7,713,2
C7,714,2
C7,715,1
C7,716,1
C7,717,1
C7,718,1
C7,719,1
C7,720,1
C7,721,1
C7,722,1
C7,723,1
C7,724,1
C7,725,1
C7,726,1
C7,727,1
C7,728,1
C7,729,1
C7,730,1
C7,731,1
C7,732,1
C7,733,1
C7,734,1
C7,735,1
C7,736,1
C3,737,1
C7,738,1
C7,739,1
C7,740,1
C4,741,1
C3,742,1
C7,743,1
C7,744,1
C7,745,1
C7,746,3
C7,747,1
C7,748,1
C7,749,1
C7,750,2
C9,751,1
C7,752,1
C7,753,1
C7,754,3
C7,755,1
C7,756,1
C7,757,1
C7,961,2
C7,819,1
C7,830,1
C7,832,1
C7,795,1
C7,943,1
C7,856,1
C7,1006,1
C7,968,1
C7,912,1
C7,981,1
C4,904,1
D4,983,1
D4,869,1
D4,891,1
D5,816,1
D4,831,1
D4,893,1
D4,875,1
D4,969,1
D4,793,1
D9,829,1
D7,770,1
D4,835,1
D4,891,1
D4,787,2
D4,985,1
D4,974,2
D4,976,1
D4,817,1
D4,803,1
D4,968,1
D4,895,1
D4,790,1
D4,1030,1
D8,876,1
D1,988,2
D4,1008,2
D4,900,1
D4,773,1
D4,1010,1
D7,993,1
D4,1005,2
D4,986,1
D4,992,1
D4,815,1
D6,969,1
D4,860,1
D4,919,1
D4,835,1
D4,807,1
D4,991,2
D4,790,1
D6,874,1
D3,793,1
D7,894,1
D4,943,1
D6,848,2
D4,974,1
D4,918,1
D4,790,1
D7,893,1
D4,946,1
D4,943,1
D4,834,2
D4,1037,1
D4,940,1
D6,1034,1
D7,858,1
D4,1020,1
D4,857,1
D4,784,1
D9,991,1
D4,923,1
D4,936,1
D4,957,1
D4,973,1
D4,995,1
D4,989,1
D4,783,1
D4,991,1
D4,1043,1
D4,775,1
D4,945,1
D1,911,1
D4,874,1
D4,927,1
D4,954,1
D4,819,1
D4,780,1
D7,770,1
D4,837,1
D4,902,1
D4,920,1
D4,888,1
D4,932,1
D4,1028,1
D4,1031,1
D4,837,1
D4,761,1
D4,846,1
D4,876,1
D4,830,1
D1,938,1
D6,944,1
D4,908,1
D4,855,1
D4,1031,1
D4,797,1
D4,882,1
D4,898,1
D4,887,1
D4,937,1
D4,1032,1
D4,835,1
D1,1021,1
D4,788,1
D4,999,1
D4,964,1
D4,773,1
D4,965,1
D4,1000,1
D4,964,1
D4,912,1
D4,831,1
D4,822,2
D4,904,1
D4,871,1
D6,830,1
D4,852,1
D4,935,1
D4,784,1
D4,1021,1
D4,917,1
D4,966,1
D4,891,1
D4,926,2
D4,978,1
D4,763,1
D4,827,1
D9,829,1
D7,977,1
D4,924,1
D4,825,1
D4,982,2
D4,936,1
D4,786,1
D4,886,1
D4,893,1
D4,956,2
D4,974,1
D4,1030,1
D4,1007,1
D4,884,1
D4,1021,1
D4,880,1
D4,819,1
D7,809,1
D4,1004,2
D4,813,1
E1,947,1
E1,934,1
E4,776,1
E1,969,1
E1,943,1
E1,780,1
E1,788,1
E7,852,1
E7,930,1
F6,795,1
F7,837,1
F7,782,1
F4,1032,1
F3,998,1
F3,1043,2
F3,875,1
F4,797,3
F3,811,1
F4,861,1
F3,867,1
F4,848,1
F4,982,1
F4,783,1
F3,790,1
F3,883,1
F3,986,1
F3,808,1
F3,1020,1
F3,832,1
F4,879,1
F3,781,1
F3,841,1
F3,914,1
F4,766,1
F4,792,1
F3,1033,1
F7,903,1
F3,834,1
F3,939,2
F4,889,1
F4,858,1
F3,799,2
F3,1027,1
F3,1015,1
F3,1038,1
F7,924,2
F7,1018,1
F3,802,1
F3,979,1
F3,907,1
F3,919,1
F3,822,1
F3,835,1
F3,1003,1
F3,960,1
F4,920,2
F3,782,1
F7,849,3
F3,922,1
F3,938,1
F3,879,2
F9,1036,1
F3,761,1
F4,1003,1
F4,878,1
F4,953,1
F3,935,1
F4,845,1
