Código,País,1970,,,,1971,,,,1972,,,,1973,,,,1974,,,,1975,,,,1976,,,,1977,,,,1978,,,,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024*,,
,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,,Kilos Netos,Dólares FOB,Pesos FOB,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB ,, Kilos Netos , Dólares FOB , Pesos FOB , Kilos Netos , Dólares FOB , Pesos FOB 
,Total,"7,156,313,083","735,657,066", -   ,,"6,293,567,780","690,008,689", -   ,,"5,718,402,370","865,957,616", -   ,,"5,025,291,540","1,177,338,782", -   ,,"3,809,885,783","1,416,887,608", -   ,,"3,877,376,513","1,465,187,132", -   ,,"3,592,960,393","1,745,152,934", -   ,,"3,292,248,844","2,443,191,089", -   ,,"4,523,550,422","3,038,295,507", -   ,,"4,810,264,690","3,300,442,555", -   ,,"4,471,054,335","3,945,047,550","186,186,883,018",,"3,237,897,300","2,956,400,222","161,121,052,600",,"4,583,696,890","3,094,966,909","198,160,118,576",,"5,365,947,931","3,080,892,848","243,416,649,466",,"6,348,520,663","3,483,139,993","351,940,284,433",,"9,248,762,471","3,551,886,162","507,457,948,170",,"14,446,239,561","5,107,935,978","993,812,234,529",,"23,967,126,597","5,024,422,563","1,222,231,483,115",,"25,078,991,711","5,026,226,592","1,508,409,428,035",,"28,688,261,610","5,739,442,860","2,195,282,467,982",,"32,458,826,991","6,765,037,137","3,428,519,562,443",,"34,842,514,982","7,244,281,898","4,601,984,812,938",,"32,938,469,152","7,065,146,049","4,812,488,298,700",,"36,226,077,446","7,123,446,555","5,603,802,760,737",,"37,593,402,397","8,537,528,029","7,051,190,295,761",,"43,161,854,623","10,201,064,471","9,334,318,125,684",,"52,083,756,656","10,647,564,205","11,040,000,012,675",,"54,836,241,444","11,549,028,844","13,264,958,160,277",,"65,579,086,323","10,865,625,464","15,499,827,614,849",,"70,785,201,769","11,617,040,585","20,605,354,659,195",,"67,050,356,240","13,158,400,847","27,577,471,084,536",,"67,856,985,326","12,329,896,346","28,362,814,262,638",," 61,714,793,768 "," 11,975,388,697 "," 30,110,799,164,584 ",," 78,424,179,673 "," 13,128,524,194 "," 37,758,548,947,218 ",," 79,465,666,680 "," 16,788,327,840 "," 43,970,225,452,531 ",," 82,026,327,893 "," 21,146,086,626 "," 49,047,712,731,522 ",," 88,429,342,947 "," 24,511,970,118 "," 57,763,448,987,869 ",," 97,699,645,797 "," 30,279,238,918 "," 62,276,927,183,949 ",," 90,503,379,667 "," 36,786,375,287 "," 71,737,400,126,870 ",," 103,446,891,728 "," 32,846,326,710 "," 70,328,856,945,879 ",," 112,520,865,522 "," 39,713,336,400 "," 75,349,435,653,271 ",," 130,319,499,021 "," 56,914,939,110 "," 105,159,494,185,411 ",," 129,396,043,596 "," 60,125,165,918 "," 108,077,897,029,908 ",," 131,971,566,549 "," 58,826,371,009 "," 110,024,304,107,686 ",," 146,381,050,657 "," 54,856,754,567 "," 109,181,791,378,712 ",," 131,147,578,184 "," 36,017,521,665 "," 97,998,702,674,687 ",," 136,989,642,289 "," 31,768,340,981 "," 96,614,053,945,722 ",," 154,319,935,684 "," 38,021,860,310 "," 112,259,003,158,652 ",," 134,901,249,142 "," 41,904,777,398 "," 123,839,098,117,266 ",," 123,352,750,397 "," 39,489,167,864 "," 129,488,290,974,952 ",," 115,313,710,841 "," 31,055,810,660 "," 113,981,030,581,126 ",," 99,834,808,110 "," 41,389,989,071 "," 155,736,811,057,303 ",," 102,131,628,696 "," 56,910,136,648 "," 241,607,564,595,030 ",," 103,191,548,967 "," 49,769,126,318 "," 215,159,245,675,576 "," 45,438,335,252 "," 20,154,157,442 "," 78,522,240,780,348 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2 ,ZFP Dorado ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 10,449 "," 73,075 "," 212,634,983 ",, 210 ," 44,628 "," 149,021,171 ",,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 13 ,Afganistán,"7,913","4,185",0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"2,700","12,480","5,357,664",,"2,500","4,000","1,853,600",,0,0,0,,"33,374","24,207","15,500,468",,"5,493","59,227","48,215,517",,0,0,0,,142,"5,803","4,937,773",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,"45,343","99,129,320",,0,0,0,,0,0,0,,"52,000","40,940","121,141,869",,"195,844","80,954","214,795,939",,30,"12,000","27,529,440",,"12,595","96,341","225,553,926",,741,"18,300","37,599,714",,"1,544","63,974","122,121,639",,"31,964","2,696,243","5,650,189,410",,"20,226","1,577,342","3,089,837,203",,0,0,0,,"1,277","16,674","30,095,836",,"1,129","18,515","34,910,579",,355,"15,725","29,306,625",,"40,919","83,277","225,748,802",,154,"4,340","13,367,448",,0,0,0,, 19 ," 2,181 "," 6,254,977 ",, 128 ," 5,600 "," 17,698,912 ",,"22,904","48,561","167,743,249",,404,"4,428","16,550,533",, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 15 ,"Aland, Islas",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 17 , Albania ,0,0,0,,0,0,0,,0,0,0,,"1,376","14,760",0,,0,0,0,,0,0,0,,"29,735","30,138",0,,0,0,0,,0,0,0,,"47,000","7,256",0,,0,0,0,,"10,878","35,052","1,812,539",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"20,262,000","960,824","181,144,149",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"68,707","104,160","66,448,563",,"2,708","57,330","38,618,619",,"185,340","129,178","103,118,834",,"73,056","245,560","202,125,520",,499,"8,515","7,467,922",,"9,540","21,520","22,157,853",,870,"25,234","31,867,766",,"2,600","65,624","90,973,239",,0,0,0,,0,0,0,,19,"2,480","5,761,288",,582,"3,904","9,498,742",,"316,697","707,353","2,004,404,918",,"72,110","125,016","332,147,973",,510,"25,912","60,065,068",,355,"7,260","17,931,665",,"43,341","128,810","257,063,973",,"132,021","394,012","756,767,037",,"88,563","175,753","354,311,045",,326,"7,423","14,312,361",,"597,639","537,184","955,983,110",,"69,440","279,163","507,944,762",,"1,609,249","1,108,298","2,091,745,449",,"62,312","175,203","342,823,192",,"61,316","178,082","496,995,763",,"1,459,563","737,822","2,200,295,849",,"7,671,994","1,845,421","5,444,950,558",," 29,868,219 "," 9,263,530 "," 26,919,165,344 ",," 41,417,869 "," 9,556,604 "," 31,442,921,282 ",,"1,496,179","873,316","3,250,898,413",,"43,614,970","10,610,521","40,149,702,172",," 33,105,446 "," 12,614,963 "," 50,429,659,144 ",," 32,289,471 "," 12,298,967 "," 48,882,121,926 "," 20,209,040 "," 5,966,266 "," 23,073,349,431 "
 23 , Alemania ,"146,911,271","104,362,503",0,,"161,528,937","104,212,182",0,,"155,542,755","121,374,469",0,,"151,549,180","147,467,933",0,,"195,591,118","170,024,539",0,,"231,161,721","217,878,352",0,,"199,878,445","282,670,331",0,,"200,846,023","490,486,149",0,,"295,716,862","648,085,115",0,,"230,936,593","583,595,147",0,,"262,477,183","740,977,827","34,948,850,314",,"272,229,169","582,538,193","31,748,595,414",,"223,316,138","560,779,598","35,894,216,552",,"229,532,880","566,601,397","44,592,385,795",,"256,335,981","577,738,077","58,565,643,197",,"261,834,507","574,410,121","83,037,041,771",,"425,763,956","1,051,149,362","203,221,531,641",,"321,724,212","592,316,379","142,938,725,547",,"484,378,675","524,791,489","157,023,683,032",,"504,824,217","496,318,016","186,589,803,993",,"577,466,442","570,599,593","286,937,574,810",,"639,537,453","547,419,350","345,839,109,603",,"1,145,879,803","594,269,258","404,051,330,446",,"1,094,634,934","558,866,560","439,492,210,723",,"1,668,249,957","872,168,916","720,676,536,387",,"1,629,892,710","734,159,133","673,163,805,253",,"2,472,621,814","603,902,751","625,416,563,906",,"3,582,188,179","729,793,231","835,848,882,000",,"4,834,369,892","684,478,947","975,134,885,768",,"5,041,216,205","485,539,700","846,315,360,657",,"5,588,697,653","434,166,646","913,883,104,538",,"5,494,368,661","427,582,031","984,665,783,460",,"3,624,608,879","332,373,072","826,540,379,615",,"984,520,484","265,013,886","761,342,425,636",,"955,634,207","265,206,008","696,580,526,120",,"715,756,110","339,105,086","788,202,015,380",,"855,432,244","364,345,846","856,173,931,113",,"1,228,743,908","542,934,701","1,119,124,852,521",,"788,610,801","600,280,887","1,140,877,693,107",,"1,146,493,072","365,373,893","781,319,946,989",,"278,198,427","249,930,118","474,963,937,959",,"423,720,512","419,721,712","775,458,477,310",,"813,747,992","395,212,074","713,125,585,324",,"1,354,830,944","780,360,128","1,456,228,414,347",,"1,474,643,047","633,519,790","1,262,928,029,474",,"1,046,754,061","495,743,257","1,355,312,553,950",,"1,080,561,455","475,869,035","1,451,134,979,656",,"1,039,966,572","473,225,591","1,398,202,395,372",," 513,677,695 "," 449,453,267 "," 1,322,013,565,982 ",," 424,675,738 "," 482,662,703 "," 1,585,423,694,717 ",,"638,002,566","496,558,911","1,816,294,411,106",,"1,070,633,707","723,346,093","2,719,378,649,056",," 1,146,914,605 "," 860,344,532 "," 3,739,020,122,189 ",," 959,767,627 "," 586,355,433 "," 2,541,843,857,508 "," 402,822,267 "," 255,760,095 "," 995,510,441,752 "
 24 , Antártida ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,,0,0,0,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 25 ," Alemania, Republica Democrática ","13,712,747","9,219,837",0,,"8,636,230","6,931,725",0,,"6,234,242","4,263,017",0,,"12,715,287","5,464,854",0,,"16,858,106","10,307,149",0,,"14,585,115","7,486,108",0,,"38,501,122","23,180,501",0,,"39,580,505","39,538,727",0,,"198,083,120","32,331,785",0,,"22,480,138","16,624,963",0,,"28,545,192","40,551,440","1,910,077,454",,"34,021,936","26,105,763","1,445,775,045",,"16,554,220","33,911,803","2,140,586,459",,"31,882,226","30,948,651","2,541,565,470",,"5,486,307","1,242,909","136,425,483",,"4,147,797","12,043,213","1,433,080,832",,"20,793,421","76,067,381","14,770,635,130",,"33,268,968","42,570,087","10,497,605,565",,"24,627,419","45,631,514","13,880,653,060",,"30,136,500","64,740,281","23,998,201,250",,"44,714,201","67,656,284","33,398,403,874",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
