Código,País,Enero - Diciembre 1980,,Enero - Diciembre 1981,,Enero - Diciembre 1982,,Enero - Diciembre 1983,,Enero - Diciembre 1984,,Enero - Diciembre 1985,,Enero - Diciembre 1986,,Enero - Diciembre 1987,,Enero - Diciembre 1988,,Enero - Diciembre 1989,,Enero - Diciembre 1990,,Enero - Diciembre 1991,,Enero - Diciembre 1992,,Enero - Diciembre 1993,,Enero - Diciembre 1994,,Enero - Diciembre 1995,,Enero - Diciembre 1996,,Enero - Diciembre 1997,,Enero - Diciembre 1998,,Enero - Diciembre 1999,,Enero - Diciembre 2000,,,,,Enero - Diciembre 2001,,,,,Enero - Diciembre 2002,,,,,Enero - Diciembre 2003,,,,,Enero - Diciembre 2004,,,,,Enero - Diciembre 2005,,,,,Enero - Diciembre 2006,,,,,Enero - Diciembre 2007,,,,,Enero - Diciembre 2008,,,,,Enero - Diciembre 2009,,,,,Enero - Diciembre 2010,,,,,Enero - Diciembre 2011,,,,,Enero - Diciembre 2012,,,,,Enero - Diciembre 2013,,,,,Enero - Diciembre 2014,,,,,Enero - Diciembre 2015,,,,,Enero - Diciembre 2016,,,,,Enero - Diciembre 2017,,,,,Enero - Diciembre 2018,,,,,Enero-diciembre2019,,,,,Enero-diciembre2020,,,,,Enero-diciembre2021,,,,Enero - diciembre 2022,,,,Enero - diciembre 2023,,,,Enero - mayo 2024,,,
,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos,Dólares CIF,Pesos CIF,Dólares FOB,Kilos Netos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"4,662,604,264",,"5,199,155,629",,"5,477,701,184",,"4,968,079,999",,"4,492,392,177",,"4,130,686,231",,"3,852,084,997",,"4,227,977,523",,"5,005,252,492",,"5,010,490,959",,"5,588,541,115",,"4,966,992,572",,"6,685,794,508",,"9,829,187,217",,"11,940,790,684",,"13,883,541,491",,"13,680,511,903",,"15,334,088,385",,"14,677,330,307",,"10,659,216,359",,"11,757,003,740"," 24,496,726,282,060 "," 10,997,915,190 "," 13,144,485,899 ",,"12,820,670,279"," 29,476,267,748,278.00 "," 11,996,605,466.00 "," 13,327,523,764.91 ",," 12,695,461,004 "," 31,806,005,761,974.00 "," 11,897,232,853.00 "," 13,949,527,175.56 ",," 13,881,703,481 "," 39,924,218,913,169.00 "," 13,025,675,812.00 "," 14,184,342,694.28 ",," 16,764,167,805 "," 43,970,831,569,244 "," 15,648,654,880 "," 15,482,586,042 ",," 21,204,163,286 "," 49,212,621,885,845 "," 19,798,905,453 "," 16,870,474,403 ",," 26,162,440,404 "," 61,814,062,871,314 "," 24,534,002,230 "," 19,366,136,510 ",," 32,888,739,319 "," 68,259,844,801,481 "," 30,807,386,992 "," 21,201,591,757 ",," 39,665,825,879 "," 77,951,076,419,061 "," 37,152,391,524 "," 21,874,265,165 ",," 32,891,132,828 "," 70,665,670,319,595 "," 31,181,279,313 "," 20,435,996,495 ",," 40,485,555,690 "," 76,671,562,652,560 "," 38,153,973,558 "," 23,597,430,416 ",," 54,232,569,162 "," 100,092,459,795,873 "," 51,556,489,511 "," 26,283,674,417 ",," 59,047,684,162 "," 106,189,336,723,714 "," 56,102,148,115 "," 30,292,238,426 ",," 59,381,211,076 "," 110,856,902,579,494 "," 56,620,327,173 "," 31,311,389,897 ",," 64,028,883,709 "," 127,557,567,231,138 "," 61,087,815,077 "," 35,430,596,533 ",," 54,057,599,472 "," 146,664,206,005,928 "," 51,598,039,983 "," 38,694,868,808 ",," 44,889,366,875 "," 136,678,850,896,923 "," 42,849,436,142 "," 39,055,641,540 ",," 46,071,057,878 "," 135,970,220,004,552 "," 43,972,262,877 "," 36,743,476,414 ",," 51,230,567,184 "," 151,220,944,551,548 "," 48,944,671,500 "," 35,271,374,827 ",," 52,702,624,272 "," 172,931,086,968,547 "," 50,270,764,671 "," 38,447,815,213 ",," 43,488,662,008 "," 159,423,288,018,535 "," 41,185,406,510 "," 33,811,607,435 ",," 61,101,362,247 "," 229,249,187,984,409 "," 56,648,798,983 "," 37,300,394,615 "," 77,413,350,613 "," 327,462,505,383,588 "," 71,446,374,137 "," 40,161,000,492 "," 62,796,636,363 "," 273,157,297,690,829 "," 59,445,304,522 "," 38,053,556,648 "," 25,911,804,734 "," 100,871,611,816,413 "," 24,572,515,154 "," 17,292,003,534 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Afganistán,"135,485",,0,,"74,442",,"49,238",,0,,"13,520",,0,,0,,0,,0,,0,,0,,0,,0,,"1,240",,"813,781",,"153,807",,"1,085",,"62,954",,"192,615",,"19,537","41,312,292","14,733",727,,"307,053","710,349,218","292,916","53,854",,"1,038,779","2,437,281,317","1,030,454","8,835",,"360,837","548,274,183","183,416","19,019",,"492,548","1,296,814,223","457,793","447,469",,"18,867","43,601,365","17,149","1,946",,"441,250","1,096,703,535","420,710","76,550",,"85,988","170,479,465","79,874","5,425",,"216,177","468,370,926","206,676","21,055",,"82,952","181,866,833","78,442","15,954",,"128,575","247,778,481","110,171","8,927",,"136,671","254,345,640","129,310","8,885",,"303,154","535,796,518","286,531","25,874",,"163,273","300,010,195","141,797","70,979",,"79,208","154,686,168","68,106","19,419",,"26,887","66,236,756","19,442","28,113",,"119,104","341,486,910","109,287","66,349",,"997,507","2,857,346,799","936,206","87,242",,"16,116","45,812,094","8,347",869,,"55,390","170,612,369","46,583","1,719",,"1,237","4,250,224","1,152",4,,"2,769","10,555,037","2,228",249,"701,595","3,181,413,147","449,430","949,692","27,752","116,961,928","27,388",565,0,0,0,0
15,"Aland, Islas",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,279.04,829580,237.5,60.89,,0,0,0,0,,985,"3,213,923",932,72,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Albania,"1,724",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,504",,"3,494,270",,"340,926",,"397,061",,"61,167",,266,,"41,854",,"33,167",,"43,646","91,804,391","35,532","25,363",,"91,192","205,990,891","86,503","4,779",,"23,384","59,841,685","22,398",502,,"40,041","9,687,862","3,236",73,,"174,430","452,652,117","158,833","43,650",,"406,480","944,902,408","379,281","204,380",,"943,463","2,218,824,560","915,128","26,049",,"584,077","1,247,246,246","557,453","33,556",,"421,384","803,536,215","403,133","25,151",,"1,016,891","2,229,756,294","978,899","146,709",,"1,581,762","2,892,485,257","1,448,134","1,419,434",,"1,017,349","1,856,472,580","977,365","43,405",,"358,470","642,922,450","338,582","28,376",,"555,195","1,051,665,338","516,535","32,565",,"471,174","933,065,941","450,781","7,231",,"516,318","1,387,199,006","489,200","63,429",,"437,343","1,338,810,039","411,929","31,787",,"247,773","731,275,774","232,545","29,979",,"477,565","1,418,576,311","440,951","23,567",,"300,244","991,245,021","278,077","34,941",,"189,250","712,730,021","178,729","4,651",,"272,078","1,019,061,865","255,658","45,100","342,966","1,464,419,689","320,594","35,547","201,867","856,593,375","188,928","13,099","131,555","513,751,791","125,066","6,365"
23,Alemania,"345,741,756",,"341,128,668",,"307,680,976",,"242,191,145",,"253,051,946",,"248,294,177",,"248,914,077",,"321,661,916",,"349,363,263",,"379,886,062",,"497,532,310",,"327,862,052",,"417,587,714",,"577,107,574",,"644,311,746",,"758,922,749",,"775,977,938",,"757,329,191",,"779,365,799",,"496,281,758",,"488,850,215","1,020,111,057,469","463,062,127","246,041,523",,"544,375,316","1,251,560,712,417","516,307,874","228,111,759",,"511,417,949","1,274,775,214,073","485,712,524","249,403,558",,"562,576,767","1,787,388,407,038","591,209,630","280,268,545",,"677,109,783","1,779,111,665,139","640,384,712","286,958,595",,"773,661,099","1,795,405,872,359","733,625,523","257,100,464",,"933,214,834","2,205,511,871,446","885,624,388","291,502,670",,"1,204,910,854","2,505,060,479,491","1,146,664,807","268,598,497",,"1,557,401,076","3,079,053,601,925","1,489,042,736","222,828,712",,"1,338,393,548","2,890,352,200,299","1,285,021,445","235,266,356",,"1,611,427,478","3,050,235,298,699","1,548,424,932","293,257,792",,"2,147,272,510","3,951,171,107,486","2,066,443,865","324,092,471",,"2,266,532,385","4,074,690,477,484","2,178,943,356","367,789,201",,"2,206,909,027","4,124,098,842,405","2,119,732,241","351,727,155",,"2,530,977,539","5,041,562,252,116","2,449,169,989","349,499,745",,"2,267,454,117","6,175,016,136,598","2,197,584,511","366,934,477",,"1,707,682,450","5,187,503,911,815","1,648,232,017","360,823,806",,"1,873,997,638","5,526,612,819,621","1,809,091,869","346,579,587",,"2,173,254,341","6,410,422,279,601","2,106,088,952","327,120,665",,"2,172,660,647","7,130,155,032,459","2,109,332,812","334,696,912",,"1,643,890,697","6,041,419,497,245","1,583,402,295","343,326,251",,"2,065,175,574","7,746,940,761,838","1,974,458,652","392,928,741","2,352,917,868","9,976,522,153,121","2,223,876,557","469,323,344","2,347,034,550","10,267,587,256,394","2,243,929,484","389,444,339","897,723,397","3,493,442,727,575","864,385,735","129,709,573"
24,Antártica,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"93,974",,0,,0,,"4,187",,"10,893",,"7,969",,"32,836",,"76,882",,"27,450",,"3,374",,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,506,"1,458,781",481,13,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Alemania, República Democrática","31,245,371",,"32,812,620",,"27,387,810",,"18,492,370",,"17,622,222",,"13,599,907",,"24,658,264",,"26,639,208",,"26,422,979",,"28,105,912",,"22,471,204",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
