,x1,x2,x3,x4,y,noise1,noise2,noise3
0,92,228,348,1076,4077.253890625057,677,1297,1.587335211422201
1,126,167,289,691,3399.3315135234507,442,1,2.0720690540810422
2,32,233,418,1166,4527.9314589903115,30626,17,2.150448917969625
3,17,64,375,577,3373.4403524895397,37,2402,1.905685805162296
4,73,79,381,913,3614.006832547449,25282,2402,2.139003161218879
5,70,135,368,623,3761.199495495381,21317,17,1.7040702448360974
6,129,224,165,617,2675.7091856938946,530,82,1.6022410722305165
7,99,128,375,1113,3848.557473875429,842,17,2.2999065924446795
8,82,77,454,620,4208.824272466815,3845,17,2.20479138300765
9,9,139,310,832,3180.7850634994306,39602,4097,1.6120519315724167
10,53,232,252,1045,3242.044618817936,3365,257,1.8563195151555352
11,84,182,192,999,2600.2482376395415,19601,2,1.4853575819250824
12,86,114,346,1069,3523.2410880443817,3365,82,1.5859017186067663
13,16,121,227,848,2449.316565194936,5185,1,2.2119577795010548
14,120,166,287,1148,3365.3189641896383,38810,82,1.5063861822016404
15,119,227,425,1134,4747.770938307926,8650,626,1.4959175575873975
16,98,220,306,522,3717.5596329000296,3250,1297,2.1433522946075967
17,112,115,297,1104,3193.7373556794446,677,257,1.4150295767958245
18,70,78,261,639,2642.964415697961,17957,82,2.163331121898447
19,12,106,351,700,3363.587518701995,21026,257,1.5896305425093251
20,102,92,139,1086,1801.264923322374,16385,2,1.5151742429643713
21,72,140,304,1166,3276.272280380234,145,2,2.304110607972636
22,36,192,391,832,4132.862911357542,7745,2402,1.4426145664708518
23,60,173,399,542,4162.256374263631,1937,257,1.883984410533874
24,114,142,201,1085,2553.875096227638,50,82,2.329143750127672
25,56,123,160,1020,2011.1117980572428,13925,82,1.8819207616900444
26,28,128,355,617,3532.6691510771266,5330,2,1.8342900154918496
27,12,159,473,876,4583.70302268852,19045,626,2.1340429967403636
28,126,175,275,929,3324.5450311496593,35345,2402,2.3878866810537827
29,17,162,496,904,4792.22651630314,29242,2402,1.9800200045638439
30,118,204,392,944,4376.254646895444,28562,17,2.1407854047906585
31,81,105,238,769,2607.3216009546363,6085,2402,2.0227219762610247
32,87,135,222,761,2630.4525515059977,24965,4097,1.6869260990634265
33,93,186,499,941,5094.160383828704,35345,1,1.7296804794159761
34,85,184,307,574,3530.9811803447687,18226,626,1.719552698367937
35,40,198,486,582,4929.138264283719,21026,17,1.7166194508217685
36,7,134,156,988,1922.1311723560982,12101,626,1.8679026680139121
37,101,61,358,1055,3408.594657714174,34226,1297,1.547400005616637
38,94,208,230,988,3045.911371406599,32042,6562,2.1495313292704217
39,80,172,249,922,3001.373611516539,31330,82,2.377043809476607
40,105,226,437,1083,4809.052832988877,442,1,1.5670386852136617
41,102,158,281,1018,3240.9213411391415,24337,2402,1.834699741789291
42,3,157,148,532,1954.5770932066505,8837,626,1.8539359123211552
43,120,133,404,1196,4149.383653673007,33857,82,2.3953269369140946
44,2,193,404,612,4166.495847365742,1025,82,1.6689894417685407
45,50,121,334,527,3380.6416288519736,18226,17,1.4356950515712108
46,15,200,195,696,2554.508301102996,1765,6562,1.5780358763036946
47,17,86,316,550,3003.4856609865924,24965,17,2.0527790111177437
48,113,93,433,1042,4182.438123583657,677,257,2.185943645662893
49,52,173,417,1146,4288.503145804983,13925,2,1.4163884216563756
50,51,99,138,831,1713.4407264538618,2210,4097,1.5896432949479746
51,121,184,306,885,3602.8623766124306,10202,2402,2.1223410622171492
