id_credit,days_overdue_month2
r382,30
d171,0
s215,0
j312,30
m263,0
x315,26
y139,0
j102,0
i155,0
g150,0
x177,11
h370,3
d184,0
i235,30
n354,30
b262,0
i161,30
r328,30
u333,3
o121,0
w167,0
z213,18
j264,30
e208,3
p246,0
o132,0
x225,0
f135,0
d313,0
c222,0
w106,0
v294,0
s149,30
k366,0
h204,2
p159,0
i119,30
i131,30
r390,30
s305,30
w201,0
u198,1
c145,3
w374,30
z256,5
x185,4
i112,0
n362,0
y345,30
k307,0
j118,2
t100,30
r156,0
g291,1
y142,30
c125,0
d214,30
l245,4
l268,30
u140,0
t133,2
w210,12
o330,17
j224,0
j134,1
q179,0
z115,1
p327,0
a157,30
j341,0
g318,9
r205,30
z271,30
y219,0
o398,30
k267,12
x242,0
z261,30
o194,0
u373,6
d360,1
p326,30
h233,0
a302,0
q361,6
t281,1
z386,5
p250,4
k193,1
j355,0
v375,30
p153,0
s284,29
h388,28
y308,0
h296,21
m257,30
c343,30
r229,5
e397,0
y207,0
y151,1
d248,30
y364,30
i290,0
u391,3
h293,0
x212,1
a274,2
r340,0
x338,2
k325,14
e357,2
m282,0
l381,0
d367,20
f216,30
r138,30
r297,2
h299,1
v311,1
f122,0
s166,30
m396,0
y331,0
b188,7
l228,0
k178,12
e348,1
y120,0
u231,30
k303,30
v314,0
d146,2
o230,0
d239,9
l170,0
x241,0
b114,30
u320,0
p220,0
p189,0
o105,30
k130,1
h306,0
f209,30
c180,30
a334,30
i158,0
a392,6
t240,30
y350,2
i191,30
v393,30
q279,0
v195,0
z104,1
h165,3
i226,4
t317,24
r301,3
z109,1
s358,30
o251,0
b101,0
u353,0
u383,5
v272,30
z285,30
o196,0
p237,0
n286,30
k323,0
r352,1
h384,0
i249,3
w319,7
i321,0
u389,30
q190,30
a258,3
a324,0
q344,0
m351,1
a108,10
h143,0
v200,30
r276,0
a280,0
f128,1
p273,30
r270,30
t164,0
j211,9
c346,0
u223,0
g329,28
f394,5
z387,0
n244,30
s154,0
w259,30
o110,30
e347,0
m221,30
l141,0
v136,4
u103,30
i217,1
b252,0
a113,30
a238,30
d395,8
i372,30
s278,0
n243,4
h380,0
v175,30
m187,30
d368,7
l254,0
b339,30
l265,1
w148,0
n203,0
q365,30
m111,30
k144,0
d232,5
m363,2
n349,30
d298,9
y127,0
y176,0
l124,22
m295,26
n169,6
u379,5
p332,15
e152,0
b206,0
c163,30
s160,0
y260,2
g253,0
t371,1
k300,30
d117,0
e186,0
r283,30
h255,4
i269,30
q173,4
z247,7
e236,5
x172,30
v182,0
w288,30
j181,0
h292,0
l289,0
e275,0
r126,0
e335,30
w234,30
i116,1
b129,16
b342,0
z399,0
e377,1
h359,10
m356,30
x137,23
b199,7
i378,30
p322,0
e123,0
q218,0
a202,0
g168,14
z310,14
c107,30
a266,30
g197,7
v162,0
o183,0
a304,30
f316,4
o376,0
n227,30
s147,5
a337,4
r192,1
p174,0
a336,30
v369,30
m287,30
d309,1
x385,30
j277,30
