client,state,date
A1,active,2026-01-01
A1,active,2026-02-01
A1,active,2026-03-01
A1,inactive,2026-04-01
A1,active,2026-05-01
A1,inactive,2026-06-01
A1,active,2026-07-01
A1,inactive,2026-08-01
A2,active,2026-01-01
A2,active,2026-02-01
A2,active,2026-03-01
A2,active,2026-04-01
A2,active,2026-05-01
A2,active,2026-06-01
A2,active,2026-07-01
A2,active,2026-08-01
A2,active,2026-09-01
A2,inactive,2026-10-01
A2,active,2026-11-01
A2,active,2026-12-01
A3,active,2026-01-01
A3,active,2026-02-01
A3,active,2026-03-01
A3,active,2026-04-01
A3,inactive,2026-05-01
A4,active,2026-01-01
A4,active,2026-02-01
A4,active,2026-03-01
A4,active,2026-04-01
A4,active,2026-05-01
A4,active,2026-06-01
A4,active,2026-07-01
A4,active,2026-08-01
A4,inactive,2026-09-01
A4,inactive,2026-10-01
A4,inactive,2026-11-01
A5,active,2026-01-01
A5,active,2026-02-01
A5,active,2026-03-01
A5,active,2026-04-01
A5,active,2026-05-01
A5,active,2026-06-01
A5,active,2026-07-01
A5,active,2026-08-01
A5,active,2026-09-01
A5,inactive,2026-10-01
A5,active,2026-11-01
A5,inactive,2026-12-01
A6,inactive,2026-01-01
A6,inactive,2026-02-01
A6,active,2026-03-01
A6,inactive,2026-04-01
A6,inactive,2026-05-01
A6,inactive,2026-06-01
A7,active,2026-01-01
A7,active,2026-02-01
A7,active,2026-03-01
A7,active,2026-04-01
A7,active,2026-05-01
A7,active,2026-06-01
A7,active,2026-07-01
A7,inactive,2026-08-01
A7,active,2026-09-01
A7,inactive,2026-10-01
A7,inactive,2026-11-01
A8,active,2026-01-01
A8,active,2026-02-01
A8,active,2026-03-01
A8,active,2026-04-01
A8,inactive,2026-05-01
A8,inactive,2026-06-01
A8,inactive,2026-07-01
A8,active,2026-08-01
A9,active,2026-01-01
A9,inactive,2026-02-01
A9,active,2026-03-01
A9,inactive,2026-04-01
A9,inactive,2026-05-01
A9,inactive,2026-06-01
A10,active,2026-01-01
A10,active,2026-02-01
A10,active,2026-03-01
A10,active,2026-04-01
A10,active,2026-05-01
A10,active,2026-06-01
A10,inactive,2026-07-01
A10,inactive,2026-08-01
A10,inactive,2026-09-01
A10,active,2026-10-01
A10,inactive,2026-11-01
A11,active,2026-01-01
A11,inactive,2026-02-01
A11,active,2026-03-01
A11,active,2026-04-01
A11,active,2026-05-01
A11,active,2026-06-01
A11,inactive,2026-07-01
A12,active,2026-01-01
A12,inactive,2026-02-01
A12,active,2026-03-01
A12,inactive,2026-04-01
A12,default,2026-05-01
A12,default,2026-06-01
A12,default,2026-07-01
A12,default,2026-08-01
A12,default,2026-09-01
A12,default,2026-10-01
A12,default,2026-11-01
A12,default,2026-12-01
A13,active,2026-01-01
A13,active,2026-02-01
A13,active,2026-03-01
A13,active,2026-04-01
A13,active,2026-05-01
A13,active,2026-06-01
A13,active,2026-07-01
A13,inactive,2026-08-01
A13,inactive,2026-09-01
A14,active,2026-01-01
A14,active,2026-02-01
A14,active,2026-03-01
A14,active,2026-04-01
A14,active,2026-05-01
A14,active,2026-06-01
A14,active,2026-07-01
A14,inactive,2026-08-01
A14,active,2026-09-01
A14,inactive,2026-10-01
A15,active,2026-01-01
A15,active,2026-02-01
A15,active,2026-03-01
A15,active,2026-04-01
A15,active,2026-05-01
A15,active,2026-06-01
A15,active,2026-07-01
A15,active,2026-08-01
A15,inactive,2026-09-01
A15,default,2026-10-01
A16,active,2026-01-01
A16,active,2026-02-01
A16,active,2026-03-01
A16,active,2026-04-01
A16,active,2026-05-01
A16,active,2026-06-01
A16,active,2026-07-01
A16,active,2026-08-01
A16,active,2026-09-01
A17,active,2026-01-01
A17,inactive,2026-02-01
A17,inactive,2026-03-01
A17,inactive,2026-04-01
A17,active,2026-05-01
A17,inactive,2026-06-01
A17,inactive,2026-07-01
A17,active,2026-08-01
A17,inactive,2026-09-01
A17,active,2026-10-01
A17,inactive,2026-11-01
A17,active,2026-12-01
A18,active,2026-01-01
A18,active,2026-02-01
A18,active,2026-03-01
A18,active,2026-04-01
A18,active,2026-05-01
A18,active,2026-06-01
A18,active,2026-07-01
A18,active,2026-08-01
A18,active,2026-09-01
A18,inactive,2026-10-01
A18,inactive,2026-11-01
A19,active,2026-01-01
A19,active,2026-02-01
A19,active,2026-03-01
A19,active,2026-04-01
A19,active,2026-05-01
A19,active,2026-06-01
A19,active,2026-07-01
A19,active,2026-08-01
A19,active,2026-09-01
A19,active,2026-10-01
A19,active,2026-11-01
A19,inactive,2026-12-01
A20,active,2026-01-01
A20,active,2026-02-01
A20,inactive,2026-03-01
A20,active,2026-04-01
A20,active,2026-05-01
A21,active,2026-01-01
A21,inactive,2026-02-01
A21,active,2026-03-01
A21,inactive,2026-04-01
A21,active,2026-05-01
A21,inactive,2026-06-01
A21,active,2026-07-01
A21,inactive,2026-08-01
A21,active,2026-09-01
A22,active,2026-01-01
A22,active,2026-02-01
A22,active,2026-03-01
A22,inactive,2026-04-01
A22,active,2026-05-01
A22,inactive,2026-06-01
A22,inactive,2026-07-01
A22,active,2026-08-01
A22,active,2026-09-01
A22,inactive,2026-10-01
A22,active,2026-11-01
A22,inactive,2026-12-01
A23,active,2026-01-01
A23,active,2026-02-01
A23,active,2026-03-01
A23,active,2026-04-01
A23,inactive,2026-05-01
A23,active,2026-06-01
A24,active,2026-01-01
A24,inactive,2026-02-01
A24,active,2026-03-01
A24,inactive,2026-04-01
A24,active,2026-05-01
A24,active,2026-06-01
A24,inactive,2026-07-01
A24,active,2026-08-01
A24,inactive,2026-09-01
A25,active,2026-01-01
A25,active,2026-02-01
A25,active,2026-03-01
A25,active,2026-04-01
A25,active,2026-05-01
A25,active,2026-06-01
A25,active,2026-07-01
A25,inactive,2026-08-01
A26,active,2026-01-01
A26,active,2026-02-01
A26,active,2026-03-01
A26,active,2026-04-01
A26,active,2026-05-01
A26,active,2026-06-01
A26,inactive,2026-07-01
A26,inactive,2026-08-01
A26,active,2026-09-01
A26,inactive,2026-10-01
A26,inactive,2026-11-01
A26,active,2026-12-01
A27,active,2026-01-01
A27,active,2026-02-01
A27,active,2026-03-01
A27,active,2026-04-01
A27,active,2026-05-01
A27,active,2026-06-01
A27,active,2026-07-01
A27,active,2026-08-01
A27,inactive,2026-09-01
A27,inactive,2026-10-01
A27,inactive,2026-11-01
