order_id,branch,driver_id,received_datetime,assigned_datetime,completed_datetime
ORD017177,Cedritos,CED_D01,2026-01-01 11:17:30,2026-01-01 11:19:29,2026-01-01 11:42:43
ORD017178,Cedritos,CED_D02,2026-01-01 11:44:55,2026-01-01 11:46:39,2026-01-01 12:18:15
ORD017179,Cedritos,CED_D03,2026-01-01 12:07:05,2026-01-01 12:08:41,2026-01-01 12:29:47
ORD017180,Cedritos,CED_D04,2026-01-01 12:12:13,2026-01-01 12:15:12,2026-01-01 12:36:42
ORD017181,Cedritos,CED_D05,2026-01-01 12:20:48,2026-01-01 12:23:23,2026-01-01 12:45:11
ORD017182,Cedritos,CED_D06,2026-01-01 12:21:10,2026-01-01 12:22:31,2026-01-01 13:11:34
ORD017183,Cedritos,CED_D07,2026-01-01 12:40:03,2026-01-01 12:42:01,2026-01-01 13:07:06
ORD017184,Cedritos,CED_D01,2026-01-01 12:54:52,2026-01-01 12:57:57,2026-01-01 13:31:06
ORD017185,Cedritos,CED_D02,2026-01-01 13:02:35,2026-01-01 13:05:43,2026-01-01 13:33:28
ORD017186,Cedritos,CED_D03,2026-01-01 13:05:15,2026-01-01 13:08:55,2026-01-01 13:25:38
ORD017187,Cedritos,CED_D04,2026-01-01 13:09:00,2026-01-01 13:12:25,2026-01-01 13:48:23
ORD017188,Cedritos,CED_D05,2026-01-01 13:13:54,2026-01-01 13:15:29,2026-01-01 13:39:27
ORD017189,Cedritos,CED_D07,2026-01-01 13:16:14,2026-01-01 13:19:39,2026-01-01 13:44:55
ORD017190,Cedritos,CED_D06,2026-01-01 13:18:43,2026-01-01 13:21:05,2026-01-01 14:03:47
ORD017191,Cedritos,CED_D03,2026-01-01 13:22:56,2026-01-01 13:26:38,2026-01-01 13:55:50
ORD017192,Cedritos,CED_D01,2026-01-01 13:25:50,2026-01-01 13:32:43,2026-01-01 14:10:32
ORD017193,Cedritos,CED_D02,2026-01-01 13:34:40,2026-01-01 13:37:24,2026-01-01 14:25:33
ORD017194,Cedritos,CED_D05,2026-01-01 13:36:56,2026-01-01 13:39:57,2026-01-01 13:58:56
ORD017195,Cedritos,CED_D07,2026-01-01 13:39:40,2026-01-01 13:46:12,2026-01-01 14:29:48
ORD017196,Cedritos,CED_D04,2026-01-01 13:39:47,2026-01-01 13:49:46,2026-01-01 14:13:27
ORD017197,Cedritos,CED_D03,2026-01-01 13:57:02,2026-01-01 13:59:25,2026-01-01 14:28:11
ORD017198,Cedritos,CED_D05,2026-01-01 14:00:49,2026-01-01 14:04:45,2026-01-01 14:30:27
ORD017199,Cedritos,CED_D06,2026-01-01 14:03:07,2026-01-01 14:04:52,2026-01-01 14:43:38
ORD017200,Cedritos,CED_D01,2026-01-01 14:06:59,2026-01-01 14:11:31,2026-01-01 14:45:55
ORD017201,Cedritos,CED_D04,2026-01-01 14:22:25,2026-01-01 14:23:44,2026-01-01 14:48:12
ORD017202,Cedritos,CED_D02,2026-01-01 14:25:47,2026-01-01 14:28:12,2026-01-01 15:03:37
ORD017203,Cedritos,CED_D03,2026-01-01 14:28:51,2026-01-01 14:31:20,2026-01-01 14:49:15
ORD017204,Cedritos,CED_D07,2026-01-01 14:43:32,2026-01-01 14:45:09,2026-01-01 15:14:56
ORD017205,Cedritos,CED_D05,2026-01-01 14:49:22,2026-01-01 14:51:44,2026-01-01 15:11:18
ORD017206,Cedritos,CED_D06,2026-01-01 15:27:36,2026-01-01 15:28:51,2026-01-01 15:57:51
ORD017207,Cedritos,CED_D01,2026-01-01 15:35:08,2026-01-01 15:36:24,2026-01-01 16:09:16
ORD017208,Cedritos,CED_D04,2026-01-01 15:46:08,2026-01-01 15:47:36,2026-01-01 16:12:17
ORD017209,Cedritos,CED_D03,2026-01-01 15:57:03,2026-01-01 15:58:03,2026-01-01 16:26:55
ORD017210,Cedritos,CED_D02,2026-01-01 16:04:52,2026-01-01 16:08:27,2026-01-01 16:40:03
ORD017211,Cedritos,CED_D05,2026-01-01 16:09:25,2026-01-01 16:11:50,2026-01-01 16:46:51
