,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,COLE_COD_DANE_ESTABLECIMIENTO,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_MATEMATICAS,DESEMP_MATEMATICAS,PERCENTIL_MATEMATICAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_C_NATURALES,DESEMP_C_NATURALES,PERCENTIL_C_NATURALES,PUNT_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,PUNT_GLOBAL,PERCENTIL_GLOBAL,PERCENTIL_ESPECIAL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION
0,TI,COLOMBIA,F,27/08/2005,20224,SB11202240362779,ESTUDIANTE,COLOMBIA,No,CUNDINAMARCA,25.0,SOACHA,25754.0,Primaria completa,Primaria completa,Estrato 2,5 a 6,Dos,Si,No,Si,No,No,No,No,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,Menos de 10 horas,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,"Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Peor,325754003878.0,659318.0,LICEO MODERNO AMERICAN SCHOOL LTDA.,COMPLETA,MIXTO,NO OFICIAL,A,,NO APLICA,325754003878.0,LICEO MODERNO AMERICAN SCHOOL LTDA - SEDE PRINCIPAL,S,URBANO,25754.0,SOACHA,25.0,CUNDINAMARCA,N,25754,SOACHA,CUNDINAMARCA,25,50,2,47,60.0,79.0,A2,49,2,52,57,3,65,50,2,58,261,59.0,,41.1043934692264,1.0,3.0,PUBLICAR
1,TI,COLOMBIA,M,16/01/2006,20224,SB11202240348385,ESTUDIANTE,COLOMBIA,No,CUNDINAMARCA,25.0,SOACHA,25754.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Dos,Si,Si,Si,No,Si,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,Menos de 10 horas,"Si, en efectivo",Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Igual,325754004959.0,614578.0,COLEGIO JORGE ELIECER GAITAN,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,325754004959.0,COLEGIO JORGE ELIECER GAITAN,S,URBANO,25754.0,SOACHA,25.0,CUNDINAMARCA,N,25754,SOACHA,CUNDINAMARCA,25,46,2,36,40.0,26.0,A-,36,1,10,56,3,62,40,1,29,221,32.0,,48.2794827323658,2.0,3.0,PUBLICAR
2,TI,COLOMBIA,F,06/08/2005,20224,SB11202240365372,ESTUDIANTE,COLOMBIA,No,LA GUAJIRA,44.0,RIOHACHA,44001.0,Educación profesional completa,Educación profesional incompleta,Estrato 3,3 a 4,Cuatro,Si,Si,Si,Si,Si,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,3 a 5 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,"Es agricultor, pesquero o jornalero","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Peor,344001000056.0,82693.0,COL. BTO. SDO CORAZON DE JESUS,MAÑANA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,344001000056.0,COL. BTO. SDO CORAZON DE JESUS,S,URBANO,44001.0,RIOHACHA,44.0,LA GUAJIRA,N,44001,RIOHACHA,LA GUAJIRA,44,24,1,1,60.0,79.0,A2,44,2,35,48,2,35,43,2,40,207,23.0,,62.1119670288425,3.0,3.0,PUBLICAR
3,TI,COLOMBIA,M,13/05/2004,20224,SB11202240294882,ESTUDIANTE,COLOMBIA,No,CAUCA,19.0,MORALES,19473.0,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 2,7 a 8,Tres,No,No,No,No,No,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,Entre 11 y 20 horas,"Si, en efectivo",Nunca o rara vez comemos eso,Todos o casi todos los días,1 o 2 veces por semana,"Trabaja en el hogar, no trabaja o estudia","Es agricultor, pesquero o jornalero",Igual,219473006636.0,188771.0,I.E.DPTAL INDG MISAK MISAK ALA KUSREINUK MINGA EDUCATIVA INTERCULTURAL KURAK CHAK,MAÑANA,MIXTO,OFICIAL,A,,TÉCNICO,219473006636.0,I.E.DPTAL INDG MISAK MISAK ALA KUSREINUK MINGA EDUCATIVA INTERCULTURAL KURAK CHAK,S,RURAL,19473.0,MORALES,19.0,CAUCA,N,19548,PIENDAMÓ - TUNÍA,CAUCA,19,50,2,47,50.0,54.0,A1,48,2,50,40,2,13,43,2,38,228,37.0,,35.2543753255477,1.0,1.0,PUBLICAR
4,TI,COLOMBIA,M,13/12/2005,20224,SB11202240199655,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,ENVIGADO,5266.0,,,,,,,,,,,,,,,,,,,,,,,,,105266000924.0,206391.0,INSTITUCION EDUCATIVA COMERCIAL DE ENVIGADO,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,105266000924.0,INSTITUCION EDUCATIVA COMERCIAL DE ENVIGADO,S,URBANO,5266.0,ENVIGADO,5.0,ANTIOQUIA,N,5266,ENVIGADO,ANTIOQUIA,5,72,4,97,75.0,96.0,B1,73,4,99,61,3,77,64,3,91,340,96.0,,,,3.0,PUBLICAR
5,TI,COLOMBIA,M,07/09/2005,20224,SB11202240544229,ESTUDIANTE,COLOMBIA,No,CAUCA,19.0,CALDONO,19137.0,Primaria incompleta,Técnica o tecnológica incompleta,Estrato 1,5 a 6,Cuatro,No,No,No,No,Si,No,Si,No,0 A 10 LIBROS,30 minutos o menos,No Navega Internet,Menos de 10 horas,"Si, en efectivo",1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Trabaja en el hogar, no trabaja o estudia","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Igual,219137000751.0,34397.0,I.E. GUILLERMO LEON VALENCIA,MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,219137000751.0,GUILLERMO LEON VALENCIA (sede principal),S,RURAL,19137.0,CALDONO,19.0,CAUCA,N,19698,SANTANDER DE QUILICHAO,CAUCA,19,60,3,78,61.0,81.0,A2,61,3,85,55,3,57,53,2,65,288,75.0,,38.3876269607839,1.0,1.0,PUBLICAR
6,TI,COLOMBIA,F,19/03/2006,20224,SB11202240420074,ESTUDIANTE,COLOMBIA,No,SANTANDER,68.0,SAN VICENTE DE CHUCURÍ,68689.0,Primaria completa,Primaria completa,Estrato 3,5 a 6,Cinco,No,No,Si,Si,No,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,Menos de 10 horas,"Si, en efectivo",3 a 5 veces por semana,1 o 2 veces por semana,Todos o casi todos los días,"Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia",Mejor,268689000871.0,527747.0,CONCENTRACION DESARROLLO RURAL JOSE ANTONIO GALAN,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,268689000871.0,CONCENTRACION DESARROLLO RURAL JOSE ANTONIO GALAN,S,RURAL,68689.0,SAN VICENTE DE CHUCURÍ,68.0,SANTANDER,N,68689,SAN VICENTE DE CHUCURÍ,SANTANDER,68,30,1,5,37.0,18.0,A-,39,1,18,44,2,23,32,1,10,182,9.0,,43.3039265954262,2.0,2.0,PUBLICAR
7,TI,COLOMBIA,M,17/02/2005,20224,SB11202240561254,ESTUDIANTE,COLOMBIA,No,CORDOBA,23.0,MONTELÍBANO,23466.0,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,Tres,Si,Si,Si,No,Si,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Más de 3 horas,Menos de 10 horas,"Si, en especie",3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Igual,323466003887.0,79442.0,CORP EDUCATIVA NEWTON,SABATINA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,323466003887.0,CORP EDUCATIVA NEWTON - SEDE PRINCIPAL,S,URBANO,23466.0,MONTELÍBANO,23.0,CORDOBA,N,23466,MONTELÍBANO,CORDOBA,23,42,2,26,35.0,13.0,A-,46,2,43,60,3,73,49,2,55,241,46.0,,55.3247210530244,3.0,2.0,PUBLICAR
8,TI,COLOMBIA,F,21/06/2006,20224,SB11202240348950,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,CHIGORODÓ,5172.0,Educación profesional completa,Educación profesional completa,Estrato 2,3 a 4,Dos,Si,Si,Si,No,Si,Si,Si,No,26 A 100 LIBROS,30 minutos o menos,Más de 3 horas,Menos de 10 horas,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial",Peor,105172000076.0,205633.0,INSTITUCION EDUCATIVA LOS ANDES,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,105172000076.0,COLEGIO LO ANDES,S,URBANO,5172.0,CHIGORODÓ,5.0,ANTIOQUIA,N,5172,CHIGORODÓ,ANTIOQUIA,5,52,3,53,46.0,45.0,A-,37,1,13,44,2,24,43,2,39,221,32.0,,61.7555003425955,3.0,2.0,PUBLICAR
9,TI,COLOMBIA,M,04/09/2004,20224,SB11202240471125,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,311001032637.0,161554.0,LICEO CUIDAD CAPITAL,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,311001032637.0,LICEO CUIDAD CAPITAL  - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,45,2,33,33.0,6.0,A-,43,2,31,45,2,25,39,1,27,211,26.0,,,,3.0,PUBLICAR
