product,category,month,quantity,sales,prices,cost
J138,food,november,1970,1934,5.805806336369383,4.555313814950618
P163,health,october,596,299,21.097079991241944,15.751169742150152
A21,home,january,208,60,98.31127634785719,75.94900171041662
R11,health,february,603,366,18.3430758146901,13.577372833778261
A125,home,april,205,59,97.36353972283462,76.99741827495093
A116,home,february,209,64,99.81658019080686,80.76519214022603
P3,health,january,598,278,17.330652832267617,12.871770345625704
S109,health,january,601,238,19.528196108258204,14.471998028778241
H50,health,april,597,359,21.39252988457609,17.886399050916825
K103,health,july,600,356,19.046585557508386,14.362287692291485
O91,health,march,600,244,19.25322523321574,14.446433655516447
K87,health,may,601,233,19.89582013416942,16.103353400942122
L118,health,september,602,229,21.640528588736718,18.189779745500307
H178,health,january,596,251,19.297207803646884,16.919852268274763
F43,health,august,604,270,19.51161984438933,15.245513860190236
H9,health,december,599,391,19.522213596819633,14.767627600182712
W132,health,july,598,310,22.426523090998003,16.810812307175574
Z111,health,may,599,352,22.405464697871167,17.230956178580517
Q9,food,july,1972,1950,8.104459287666765,6.110824318122627
Z201,health,november,603,314,20.42480503909234,15.12403321797974
E206,health,january,600,381,20.811105433485867,16.230795833719355
D78,health,july,603,303,21.63980523096588,16.51093256813862
H46,health,july,596,367,18.97058274475737,14.08670081000957
B103,health,february,600,278,21.293411949260314,16.81431033040193
W155,health,june,602,399,18.620731265476085,15.932422964900404
R55,health,march,600,238,19.298473347301247,15.101298789295214
L211,health,april,599,314,20.99781571538033,17.625859706281982
Q123,food,march,1972,1951,5.428451229751434,4.570880207200113
E2,health,july,598,254,19.845924407792467,14.756990892296237
U136,health,october,596,245,19.052069614554345,16.663891057717866
I198,home,june,201,56,97.71881869241635,74.21366254620682
P178,health,august,597,252,16.921551983993204,14.221635424002494
L77,health,december,599,345,19.23013504194229,16.567745075128702
M148,health,july,596,326,21.02020867493444,18.48295480117669
M155,health,february,602,415,19.809000748930764,15.194795426933387
W172,health,december,600,288,20.003130507486492,17.097151449747365
D11,health,september,595,310,20.757044982212513,16.829197925853812
P83,health,december,597,315,19.032510022690044,16.656498113796168
Q66,food,december,1972,1934,7.31199005618802,6.084544270323745
S129,health,september,602,272,19.114096830127824,15.731920591646277
Z199,health,july,600,373,18.09956355646733,13.975275423648938
S45,health,may,598,262,19.57001022686939,16.450903033089368
E151,health,september,599,414,20.631186448645565,16.099508800332664
Y102,health,december,601,411,20.37244795609978,17.48783575252171
G149,health,march,604,306,19.9869864560733,17.524927750071875
I118,home,may,206,69,100.6316017925315,74.57717615573317
S121,health,december,598,302,20.454203376339656,17.869786787447655
D159,health,june,596,329,21.076609606531083,16.654408981017834
Y24,health,may,599,370,22.461957672347747,18.157442334883935
L122,health,july,599,373,18.576506144522625,16.149893778205353
W114,health,november,595,394,18.85733296877455,16.002975347676422
J24,food,november,1970,1918,8.918083447635224,6.9030527335931975
A148,home,january,206,63,97.12213099123483,73.18729245724299
L33,health,march,602,338,20.032651553333665,17.183441015178378
C143,health,august,602,326,21.176247566366783,17.88521344282165
A205,home,may,208,66,98.97977703042248,85.13918926365413
Z42,health,september,602,278,21.93037480017922,17.407581189981748
J152,food,december,1968,1893,8.645208550736816,6.993073919819171
O194,health,november,596,325,21.17633193667631,17.049120068318214
P174,health,december,598,309,19.15002041432809,15.014784804827224
