lyrics,label
"Oye morenita te vas a quedar muy sola
porque anoche dijo el radio
que abrieron el Liceo
Como es estudiante
ya se va Escalona
pero de recuerdo te dejó un paseo (bis)

Que te habla...""de aquel inmenso amor""
Que llevo... ""dentro del corazón""
y dice...""todo lo que yo siento""
que es pura...""pasión y sentimiento""
cantando con el lenguaje grato
que tiene la tierra ´e Pedro Castro (bis)

Adiós morenita me voy por la madrugada
no quiero que me llores
porque me da dolor,
paso por valencia
cojo la sabana,
Caracolicito y llegó a Fundación (bis)

Y entonces...""me tengo que meter""
en un diablo...""al que le llaman tren""
ay, que sale...""por toá la zona pasa""
y de tarde... ""se mete a Santa Marta"",
que sale por to´a la zona pasa
y de tarde se mete a Santa Marta (bis).

Ese orgullo que tú tienes no es muy bueno
te juro que que más tarde te vas a arrepentir,
yo sólo he querido dejarte un recuerdo
porque en Santa Marta me puedo morir.

Y entonces... ""me tienes que llorar""
y de ñapa...""te tienes que poner""
traje negro... ""aunque no gustes de él""
y entonces te vas a arrepentir
de lo mucho que me hiciste sufrir (bis).
",Vallenato
"Voy hacerte una casa en el aire
solamente pa´que vivas tú.
Despues le pongo un letrero bien grande
con nubes blancas que diga ""andaluz""

Cuando Andaluz sea señorita
y alguno le quiera hablar de amor
el tipo tiene que ser aviador
para que pueda hacerle la visita
el tipo tiene que ser aviador
para que pueda hacerle la visita

Y si no vuela no sube
a ver a Andaluz en las nubes
y si no vuela no, no llega allá
a ver a Andaluz en la inmensidad

Voy hacer mi casa en el aire
pa´que no me la moleste nadie

Como esa casa no tiene cimientos
tiene el sistema que he inventado yo
Me la sostiene en el firmamento
los angelitos que le pido a Dios

Si te pregunta como se sube
deciles que muchos se han perdido
para ir al cielo creo que no hay camino
nosotros dos iremo´ en una nube
para ir al cielo creo que no hay camino
nosotros dos iremo´en una nube

Y si no vuela no sube

Voy hacer mi casa en el aire
pa´que no la moleste nadie
es que voy hacerla en el aire
pa´que no la moleste nadie

",Vallenato
"De las lejanas sabanas de Manaure
¡De las bonitas sabanas manaureras! (Bis)
Se viene Poncho el lunes por la mañana
Llorando de nostalgia, por su querida tierra. (Bis)
No llores Poncho que ya noviembre viene
Y el Loperena pronto se va a cerrar... (Bis)
En vacaciones, con gallo y con amigos
A tu pueblo querido te vas a desquitar. (Bis)
--
¡Ay si lo vieran cómo sale...
Hombre el pobre Poncho pa' Manaure!
Y los lunes se regresa
Hombre, todo lleno de tristeza...
Porque deja en la sabana
Hombre, tres monitos que lo llaman (Bis)
Con gran frecuencia los sábados temprano
Lo ven que pasa del Valle pa' La Paz (Bis)
Al cabo rato pasa por La Tomita...
Manaure está cerquita... ¡Se siente el fresco ya! (Bis)
. Son tres monitos que tiene la sabana...
Son tres monitos que yo le conocí... (Bis)
Y ahora comprendo el porqué de la nostalgia,
Se le atormenta el alma cuando viene de allí. (Bis)
--
¡Ay si lo vieran cómo sale...
Hombre el pobre Poncho pa' Manaure!
Y los lunes se regresa
Hombre, todo lleno de tristeza...
Porque deja en la sabana
Hombre, tres monitos que lo llaman (Bis)
",Vallenato
"ÓYELO RAFA VAMOS PA' VILLA NUEVA
Hice una carta pa’ Dina luz en la frontera del sur en Leticia
Pa’que no diga que es ingratitud que la he olvidado por otra distinta
Quise comprarle en la pedrea los amuletos que tienen taboo.
Todas las cosa me parecen feas para brindárselas a Dina Luz

(coro)

Con cual moneda te puedo comprar ‘’ si nunca la ha n hecho y nunca la harán’’
Iva buscando por toa la frontera ‘’cosas bonitas pa’ ti en Villa nueva’’
Iva buscando por el Amazonas ‘’ cosas muy lindas pa’ ti bella mona’’
Iba buscando por el Orinoco ‘’ el caimán encantado que vuelve a uno loco’’
Te traje pirañas de bellos colores ‘’ que en el Amazonas la gente se come’’

¡!! Auuuu.. ajuya ahora sii !!

Yo vi a los indios del Putumayo y me ofrecieron una brujería
Iba comprarla lo estuve pensando hay para ver si así tu me quería
(Yo que te quiero si hacerme nada como será si me das brujería)

Allí en Leticia allí en la frontera la gente miraba mi triste actitud
Que brasilera ni que brasilera a mi me enloquece no mas Dina Luz.
Hay
(coro)

Con cual moneda te puedo comprar ‘’ si nunca la ha hecho y nunca la harán’’
Iba buscando por toa la frontera ‘’cosas bonitas pa’ ti en Villa nueva’’
Iba buscando por el Amazonas ‘’ cosas muy lindas pa’ ti bella mona’’
Iba buscando por el Orinoco ‘’ el caimán encantado que vuelve a uno loco’’
Te traje pirañas de bellos colores ‘’ que en el Amazonas la gente se come’’

",Vallenato
"Píntame una golondrina
Y te diré si eres un buen pintor
debe de llevá en el pico una espina
Y en los ojos un dolor

Porque... dicen que cuando Cristo agonizaba
llegó del occidente
Enjambres de errantes golondrinas
A limpiarle la cara
Y a arrancarle con sus picos
Las espinas clavadas en la frente.

Y tú, y tú, y tú...
Tú eres mi golondrina Dina Luz,
Tú eres mi golondrina Dina Luz.
Tú eres mi golondrina.

Cundo salga un arcoíris te diré:
que me lo pintes tú,
si lo pintara Molina yo diría
que es para Dina Luz.

Cuentan que los arcoíris
y que nacen en la nevada
frente a Valledupar
y después de un aguacero
y que se esconden,
en la Sabana, cerquita a Patillal
y luego las golondrinas
y que salen para que el sol las mire
y después desaparecen en el aire
como los arcoíris.

Y tú, y tú, y tú...
Tú eres mi golondrina Dina Luz,
Tú eres mi golondrina Dina Luz.
Tú eres mi golondrina.

Si tú ves un arcoíris
que es muy bello
y en el fondo una cruz
lo pintó Jaime Molina
desde el cielo
y es para Dina Luz

Y si ella ve un arcoíris
por la tarde
sé que comprenderá
que es el mismo que ha pintado mi compadre,
Yo se lo vengo a entregar

Porque, porque, porque
Porque es mi consentida Dina Luz
Porque es mi consentida Dina Luz
Ella es mi consentida.
",Vallenato
" Caminando por la tierra o por debajo del mar
quiza llegare a encontrar algun lugar donde no hay pena
y si no lo llego a encontrar sigo vagando por la vida
lo mismo que la golondrina que nadie sabe a donde va
a donde va a donde va


",Vallenato
"Yo la conocí una mañana,
yo la conocí una mañana
que ella llegó en avión a mi tierra
y cuando me la presentaban
me dijo que era brasilera.
Ay! Yo creo que cruzó la frontera
pa´ venir a meterse en mi alma.
Ay! Yo creo que cruzó la frontera
pa´ venir a meterse en mi alma.
Se perdió en la nube el avión
sobre el cielo de Valledupar,
me quedé llorando su amor,
por eso la vine a buscar,
pero sino me quiere besar,
cojo mi camino y me voy.
Pero sino me quiere besar,
cojo mi camino y me voy.
A mí me dolió que se fuera,
pero ella me dio a comprender
que los ojos de una mujer
dicen cuando quiere de veras
y como el que se queda, se queda,
triste se quedó Rafael.
Y como el que se queda, se queda,
triste se quedó Rafael.
Mañana la voy a buscar
pero sino me encuentro con ella
como abría para la frontera
y me voy pa´ Belén del Pará
porque como ella es brasilera
pudo haberse ido pa´ allá.
Porque como ella es brasilera
pudo haberse ido pa´ allá.
En la orilla del Orinoco,
muy cerquita de Amazonas,
se dirá que andaba Escalona
más desesperado que un loco,
porque mi amor es más tormentoso
que las aguas del Amazonas.
Porque mi amor es más tormentoso
que las aguas del Amazonas.
Que no te extrañe brasilera
si algún día me voy por allá.
y nos vemos en la frontera,
cerca de Belén del Pará.
Quien sabe me quede con ella,
o hasta me la traiga pa´ cá.
Quien sabe me quede con ella,
o hasta me la traiga pa´ cá.
Ay! Yo siento una pena en el alma,
yo siento profundo dolor,
como en la novela Canaima,
era una aventura de amor.
Ay! Que a ella no le ha costado nada
y a mí me costó el corazón.
Ay! Que a ella no le ha costado nada
y a mí me costó el corazón. 
",Vallenato
"ella es antioqueña de la serrania pero fue alla en cali donde nos encontramos(bis)
y cuando vio que me venia se puso triste y quedo llorando (bis)
hay maria tere maria tere antioqueñita de ojos verdes (bis)
yo solo pido que me recuerdes mi maria tere mi maria tere (bis)


quisiera escribirte pero dime donde porque quiero darte prueba de mi amor (bis)
te regale un ramo de flores y sobre las flores mi corazon (bis)
hay maria tere maria tere antioqueñita de ojos verdes (bis)
yo solo pido que me recuerdes mi maria tere mi maria tere (bis)

oye maria tere oye maria tere yo tengo razones parar estar muy triste (bis)
el recuerdo de tus ojos verdes y aquellas cosas que me dijiste (bis)
habis)
 y maria tere maria tere antioqueñita de ojos 
 verdes yo solo pido que me recuerdes mi maria tere mi maria tere (bis).
 
",Vallenato
"A dos amigos que se amaron con el alma, ay Hombe

Recuerdo que Jaime Molina
Cuando estaba borracho, ponía esta condición
Que, si yo moría primero él me hacía un retrato
O, si el se moría primero le sacaba un son
Que, si yo moría primero él me hacía un retrato
O, si el se moría primero le sacaba un son

¡Ahora prefiero esta condición
Que el me hiciera el retrato y no sacarle el son!
¡Ahora prefiero esta condición
Que el me hiciera el retrato y no sacarle el son!

Famosas fueron sus parrandas
Que a ningún amigo dejaba dormir
Cuando estaba bebiendo
Siempre me insultaba
Con frases de cariño que sabía decir
Cuando estaba bebiendo
Siempre me insultaba
Con frases de cariño que sabía decir

¡Después en las piernas me sentaba
Me contaba un chiste y se ponía a reír!
¡Después en las piernas me sentaba
Me contaba un chiste y se ponía a reír!

Ay compadre, si viera cómo lo recuerda Rafa
¡Que solo llora!

La cosa comenzó muy niño
Jaime Molina me enseño a beber
A donde quiera estaba, el estaba conmigo
Y donde quiera estaba, yo estaba con él
A donde quiera estaba, el estaba conmigo
Y donde quiera estaba, yo estaba con él

Ahora me duele que se haya ido
Yo quedé sin Jaime y el sin Rafael
Ahora me duele que se haya ido
Yo quedé sin Jaime y el sin Rafael

Un homenaje sencillo
Para los pintores y poetas del valle
Ay hombe
",Vallenato
" Señores, voy a contarles
Hay nuevo encanto en la sabana
Señores, voy a contarles
Hay nuevo encanto en la sabana

En adelanto van, estos lugares
Ya tienen su diosa coronada
La vida tiene buen adelanto
Y tiene diosa de los encantos

Y que tiene su corona de reina
Lo bello aquí está, la Magdalena
Y que tiene su corona de reina
Lo bello aquí está, la Magdalena

Paso a contar lo siguiente
Conozco diosa y rey querido
Paso a contar lo siguiente
Conozco diosa y rey querido

Ese nombre de diosa es de gente
Que tenga su grado distinguido
Que viva el mismo movimiento
Y que tenga el mismo pensamiento
Que viva alegre en la sabana
Ya tiene su diosa coronada

Que canta el pobre Leandro Díaz
Triste por la serranía
Que canta el pobre Leandro Díaz
Triste por la serranía

Cuando el rey querido llega
De tarde por la serranía
Hay que ponerle gallina rellena
Que el rey es fino, madre mía

Le pones la mesa bien servida
Tú sabes que el rey es gente fina
Le pones un gran arroz volado
Que coma, el rey, considerado
Le pones un gran arroz volado
Que coma, el rey, considerado

Cuando el rey llega de tarde
Que mira el jardín florecido
Cuando el rey llega de tarde
Que mira el jardín florecido

Cuando la diosa mueve el caderaje
Se pone, el rey, más engreído
Y llega, la mira con anhelo
Y dice: Gracias le doy al cielo

Que viva alegre en la sabana
Ya tiene su diosa coronada
Que canta el pobre Leandro Díaz
Triste por la serranía
Que canta el pobre Leandro Díaz
Triste por la serranía


",Vallenato
