DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3053,P3095,P3096,P3097,P3098,P3054,P3055,P469,CLASE_TE,COD_DEPTO,AREA,F_EXP
7277093,1,1,7,,,,,1,4,2,2,05,"",34.8373147591954
7277104,1,1,3,,,1,,,,,1,05,05,87.4156970299431
7277108,1,3,5,,,,,1,3,1,1,05,05,74.1007415902177
7277114,1,1,2,,1,,,1,3,1,1,05,05,132.473094961111
7277119,1,1,1,2,,,,1,4,1,2,05,"",14.7852291906858
7277123,1,1,2,,1,,,1,3,2,1,05,05,122.928323948358
7277128,1,1,3,,,2,,,,,1,05,05,115.468905702792
7277130,1,2,1,2,,,,1,1,1,1,05,05,88.695548147224
7277132,1,2,1,2,,,,1,1,1,1,05,05,79.1020709409628
7277134,1,1,3,,,1,,,,,1,05,05,71.8463914061836
7277134,1,2,1,2,,,,1,1,1,1,05,05,71.8463914061836
7277136,1,1,4,,,,2,1,,1,1,05,05,98.3305769968825
7277144,1,1,5,,,,,1,1,2,1,05,05,90.3826886646501
7277146,1,1,5,,,,,1,1,2,2,05,"",18.2496219918556
7277147,1,1,7,,,,,1,4,1,2,05,"",29.7518331477574
7277152,1,1,1,2,,,,1,1,1,2,05,"",22.2255835003603
7277159,1,1,7,,,,,1,1,1,2,05,"",16.8244544514034
7277159,1,3,2,,1,,,1,3,1,2,05,"",16.8244544514034
7277168,1,1,3,,,1,,,,,2,05,"",37.4352575577276
7277171,1,1,1,1,,,,1,4,2,2,05,"",18.8475563477731
7277175,1,1,2,,1,,,1,3,1,1,05,05,63.5327653172032
7277177,1,1,1,2,,,,1,5,1,2,44,"",108.647958945598
7277177,1,2,7,,,,,1,5,1,2,44,"",108.647958945598
7277178,1,1,7,,,,,1,4,1,2,44,"",121.776407821714
7277178,1,6,6,,,,,,,,2,44,"",121.776407821714
7277184,1,1,7,,,,,1,3,1,2,44,"",161.456273902612
7277185,1,1,1,1,,,,1,5,1,2,44,"",123.114109006503
7277186,1,1,7,,,,,1,1,2,1,44,"",49.4557230922819
