credito,delivery_date,execution_date,dias_mora
A,01-07-2020,28-07-2020,0
A,01-07-2020,28-09-2020,0
A,01-07-2020,28-10-2020,20
A,01-07-2020,28-11-2020,50
A,01-07-2020,28-12-2020,80
A,01-07-2020,28-01-2021,250
B,03-01-2019,28-04-2020,120
B,03-01-2019,28-04-2020,150
B,03-01-2019,28-05-2020,180
B,03-01-2019,28-06-2020,210
B,03-01-2019,28-07-2020,240
C,15-07-2020,28-07-2020,20
C,15-07-2020,28-08-2020,50
C,15-07-2020,28-09-2020,80
C,15-07-2020,28-10-2020,110
C,15-07-2020,28-11-2020,140
C,15-07-2020,28-12-2020,170
