DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
5,Antioquia,2020,Cabecera,5250157
5,Antioquia,2020,Centros Poblados y Rural Disperso,1399244
5,Antioquia,2020,Total,6649401
5,Antioquia,2021,Cabecera,5350556
5,Antioquia,2021,Centros Poblados y Rural Disperso,1375663
5,Antioquia,2021,Total,6726219
5,Antioquia,2022,Cabecera,5424921
5,Antioquia,2022,Centros Poblados y Rural Disperso,1362925
5,Antioquia,2022,Total,6787846
5,Antioquia,2023,Cabecera,5494521
5,Antioquia,2023,Centros Poblados y Rural Disperso,1353839
5,Antioquia,2023,Total,6848360
5,Antioquia,2024,Cabecera,5551824
5,Antioquia,2024,Centros Poblados y Rural Disperso,1351897
5,Antioquia,2024,Total,6903721
5,Antioquia,2025,Cabecera,5600952
5,Antioquia,2025,Centros Poblados y Rural Disperso,1350873
5,Antioquia,2025,Total,6951825
5,Antioquia,2026,Cabecera,5643692
5,Antioquia,2026,Centros Poblados y Rural Disperso,1350625
5,Antioquia,2026,Total,6994317
5,Antioquia,2027,Cabecera,5681698
5,Antioquia,2027,Centros Poblados y Rural Disperso,1351697
5,Antioquia,2027,Total,7033395
5,Antioquia,2028,Cabecera,5715714
5,Antioquia,2028,Centros Poblados y Rural Disperso,1354277
5,Antioquia,2028,Total,7069991
5,Antioquia,2029,Cabecera,5746268
5,Antioquia,2029,Centros Poblados y Rural Disperso,1358617
5,Antioquia,2029,Total,7104885
5,Antioquia,2030,Cabecera,5773785
5,Antioquia,2030,Centros Poblados y Rural Disperso,1364893
5,Antioquia,2030,Total,7138678
5,Antioquia,2031,Cabecera,5799053
5,Antioquia,2031,Centros Poblados y Rural Disperso,1372223
5,Antioquia,2031,Total,7171276
5,Antioquia,2032,Cabecera,5822958
5,Antioquia,2032,Centros Poblados y Rural Disperso,1379324
5,Antioquia,2032,Total,7202282
5,Antioquia,2033,Cabecera,5845357
5,Antioquia,2033,Centros Poblados y Rural Disperso,1386272
5,Antioquia,2033,Total,7231629
5,Antioquia,2034,Cabecera,5866126
5,Antioquia,2034,Centros Poblados y Rural Disperso,1393156
5,Antioquia,2034,Total,7259282
5,Antioquia,2035,Cabecera,5885450
5,Antioquia,2035,Centros Poblados y Rural Disperso,1399760
5,Antioquia,2035,Total,7285210
5,Antioquia,2036,Total,7309257
5,Antioquia,2037,Total,7331280
5,Antioquia,2038,Total,7351263
5,Antioquia,2039,Total,7369211
5,Antioquia,2040,Total,7385129
5,Antioquia,2041,Total,7399045
5,Antioquia,2042,Total,7411001
5,Antioquia,2043,Total,7421042
5,Antioquia,2044,Total,7429184
5,Antioquia,2045,Total,7435448
5,Antioquia,2046,Total,7439880
5,Antioquia,2047,Total,7442534
5,Antioquia,2048,Total,7443453
5,Antioquia,2049,Total,7442657
5,Antioquia,2050,Total,7440163
8,Atlántico,2020,Cabecera,2556249
8,Atlántico,2020,Centros Poblados y Rural Disperso,137416
