Date,price_registred_,promotion_day,month_extracted_from_Date,quantity_sold,unitary_cost,ref_,stock
2025-01-01,27.900000000000002,Yes,January,402,7.61,c,708
2025-01-02,33.0,No,January,339,8.28,d,697
2025-01-03,32.0,No,January,396,8.67,a,682
2025-01-04,30.0,No,January,434,8.37,b,696
2025-01-05,31.0,No,January,378,7.73,a,704
2025-01-06,34.0,No,January,372,7.69,c,700
2025-01-07,27.0,Yes,January,391,8.48,1,697
2025-01-08,28.8,Yes,January,414,8.33,d,697
2025-01-09,33.0,No,January,387,7.95,c,712
2025-01-10,31.0,No,January,377,8.12,c,712
2025-01-11,31.0,No,January,409,7.42,2,712
2025-01-12,32.0,No,January,375,8.08,b,694
2025-01-13,33.0,No,January,464,7.19,c,709
2025-01-14,31.0,No,January,390,7.79,b,697
2025-01-15,32.0,No,January,421,8.56,2,687
2025-01-16,32.0,No,January,400,7.72,2,703
2025-01-17,34.0,No,January,428,8.31,4,700
2025-01-18,30.6,Yes,January,451,8.46,c,706
2025-01-19,33.0,No,January,346,7.81,2,700
2025-01-20,32.0,No,January,367,7.67,a,681
2025-01-21,33.0,No,January,369,7.96,d,696
2025-01-22,33.0,No,January,466,8.35,1,702
2025-01-23,31.0,No,January,398,7.92,b,671
2025-01-24,33.0,No,January,499,8.02,1,703
2025-01-25,31.0,No,January,370,8.98,d,688
2025-01-26,27.900000000000002,Yes,January,412,8.09,3,701
2025-01-27,33.0,No,January,402,8.26,3,701
2025-01-28,27.900000000000002,Yes,January,353,7.92,b,704
2025-01-29,32.0,No,January,430,8.2,c,706
2025-01-30,31.0,No,January,310,8.17,b,688
2025-01-31,28.8,Yes,January,362,8.48,1,709
2025-02-01,29.0,No,February,422,8.05,d,688
2025-02-02,30.0,No,February,424,7.72,2,701
2025-02-03,31.0,No,February,497,7.6,4,711
2025-02-04,29.7,Yes,February,427,8.03,2,709
2025-02-05,32.0,No,February,468,7.84,c,693
2025-02-06,32.0,No,February,356,8.12,a,700
2025-02-07,33.0,No,February,415,8.45,4,704
2025-02-08,31.0,No,February,432,8.12,c,693
2025-02-09,28.8,Yes,February,446,7.74,c,691
2025-02-10,31.0,No,February,452,7.53,a,694
2025-02-11,30.0,No,February,367,8.25,c,702
2025-02-12,32.0,No,February,409,7.21,c,694
2025-02-13,33.0,No,February,377,7.55,1,700
2025-02-14,28.8,Yes,February,499,8.21,a,682
2025-02-15,32.0,No,February,453,8.03,4,707
2025-02-16,34.0,No,February,339,8.44,b,699
2025-02-17,32.0,No,February,351,8.34,3,693
2025-02-18,33.0,No,February,356,7.71,c,700
2025-02-19,34.0,No,February,432,8.4,4,696
2025-02-20,31.0,No,February,431,7.62,c,695
2025-02-21,31.0,No,February,378,7.61,3,693
2025-02-22,34.0,No,February,411,7.68,1,694
2025-02-23,27.900000000000002,Yes,February,512,7.69,c,708
2025-02-24,32.0,No,February,431,8.1,3,711
