product,sales,month
Granola bars,404.0,1
Protein bars,699.0,1
Mixed nuts,779.0,1
Trail mix,649.0,1
Dried fruit,536.0,1
Rice cakes,434.0,1
Pistachios,811.0,1
Banana chips,411.0,1
Almonds,708.0,1
Cashews,412.0,1
Walnuts,275.0,1
Granola bars,419.0,2
Protein bars,678.0,2
Mixed nuts,775.0,2
Trail mix,672.0,2
Dried fruit,538.0,2
Rice cakes,440.0,2
Pistachios,786.0,2
Banana chips,424.0,2
Almonds,690.0,2
Cashews,415.0,2
Walnuts,287.0,2
Granola bars,397.0,3
Protein bars,678.0,3
Mixed nuts,785.0,3
Trail mix,658.0,3
Dried fruit,531.0,3
Rice cakes,447.0,3
Pistachios,798.0,3
Banana chips,400.0,3
Almonds,678.0,3
Cashews,404.0,3
Walnuts,289.0,3
Granola bars,391.0,4
Protein bars,690.0,4
Mixed nuts,758.0,4
Trail mix,647.0,4
Dried fruit,542.0,4
Rice cakes,450.0,4
Pistachios,809.0,4
Banana chips,423.0,4
Almonds,,4
Cashews,429.0,4
Walnuts,277.0,4
Granola bars,397.0,5
Protein bars,686.0,5
Mixed nuts,793.0,5
Trail mix,661.0,5
Dried fruit,529.0,5
Rice cakes,449.0,5
Pistachios,800.0,5
Banana chips,414.0,5
Almonds,682.0,5
Cashews,410.0,5
Walnuts,281.0,5
Granola bars,376.0,6
Protein bars,690.0,6
Mixed nuts,768.0,6
Trail mix,657.0,6
Dried fruit,524.0,6
Rice cakes,447.0,6
Pistachios,801.0,6
Banana chips,416.0,6
Almonds,714.0,6
Cashews,413.0,6
Walnuts,275.0,6
Granola bars,399.0,7
Protein bars,,7
Mixed nuts,779.0,7
Trail mix,660.0,7
Dried fruit,517.0,7
Rice cakes,449.0,7
Pistachios,809.0,7
Banana chips,427.0,7
Almonds,710.0,7
Cashews,401.0,7
Walnuts,275.0,7
Granola bars,388.0,8
Protein bars,691.0,8
Mixed nuts,783.0,8
Trail mix,628.0,8
Dried fruit,522.0,8
Rice cakes,457.0,8
Pistachios,785.0,8
Banana chips,426.0,8
Almonds,697.0,8
Cashews,405.0,8
Walnuts,286.0,8
Granola bars,395.0,9
Protein bars,697.0,9
Mixed nuts,,9
Trail mix,667.0,9
Dried fruit,536.0,9
Rice cakes,437.0,9
Pistachios,803.0,9
Banana chips,422.0,9
Almonds,709.0,9
Cashews,419.0,9
Walnuts,290.0,9
Granola bars,396.0,10
Protein bars,706.0,10
Mixed nuts,781.0,10
Trail mix,658.0,10
Dried fruit,527.0,10
Rice cakes,440.0,10
Pistachios,806.0,10
Banana chips,421.0,10
Almonds,692.0,10
Cashews,397.0,10
Walnuts,286.0,10
Granola bars,404.0,11
Protein bars,682.0,11
Mixed nuts,,11
Trail mix,658.0,11
Dried fruit,524.0,11
Rice cakes,456.0,11
Pistachios,800.0,11
Banana chips,428.0,11
Almonds,714.0,11
Cashews,384.0,11
Walnuts,293.0,11
Granola bars,398.0,12
Protein bars,691.0,12
Mixed nuts,781.0,12
Trail mix,653.0,12
Dried fruit,533.0,12
Rice cakes,432.0,12
Pistachios,796.0,12
Banana chips,,12
Almonds,695.0,12
Cashews,402.0,12
Walnuts,293.0,12
