,cre_numcre,cre_delivery_date,cre_execution_date,cre_diamor
18006,10 10000044708,2022-10-10,2022-10-31,0
18007,10 10000044708,2022-10-10,2022-11-30,0
18008,10 10000044708,2022-10-10,2022-12-31,0
18009,10 10000044708,2022-10-10,2023-01-31,0
18010,10 10000044708,2022-10-10,2023-02-28,1
18011,10 10000044708,2022-10-10,2023-03-31,0
18012,10 10000044708,2022-10-10,2023-04-30,0
18013,10 10000044708,2022-10-10,2023-05-31,0
18014,10 10000044708,2022-10-10,2023-06-30,0
18015,10 10000044708,2022-10-10,2023-07-31,31
18016,10 10000044708,2022-10-10,2023-08-31,0
18017,10 10000044708,2022-10-10,2023-09-30,28
18018,10 10000044708,2022-10-10,2023-10-31,59
18019,10 10000044708,2022-10-10,2023-11-30,57
18020,10 10000044708,2022-10-10,2023-12-31,39
18021,10 10000044708,2022-10-10,2024-01-31,59
18022,10 10000044708,2022-10-10,2024-02-29,57
18023,10 10000044708,2022-10-10,2024-03-31,85
18024,10 10000044708,2022-10-10,2024-04-30,118
18025,10 10000044708,2022-10-10,2024-05-31,146
18026,10 10000044708,2022-10-10,2024-06-30,178
18027,10 10000044708,2022-10-10,2024-07-31,220
18028,10 10000044708,2022-10-10,2024-08-31,236
18029,10 10000044708,2022-10-10,2024-09-30,269
18030,10 10000044708,2022-10-10,2024-10-31,297
18031,10 10000044708,2022-10-10,2024-11-30,327
18032,10 10000044708,2022-10-10,2024-12-31,359
18268,10 10000044724,2022-10-17,2022-10-31,0
18269,10 10000044724,2022-10-17,2022-11-30,0
18270,10 10000044724,2022-10-17,2022-12-31,0
18271,10 10000044724,2022-10-17,2023-01-31,2
18272,10 10000044724,2022-10-17,2023-02-28,1
18273,10 10000044724,2022-10-17,2023-03-31,30
18274,10 10000044724,2022-10-17,2023-04-30,44
18275,10 10000044724,2022-10-17,2023-05-31,28
18276,10 10000044724,2022-10-17,2023-06-30,0
18277,10 10000044724,2022-10-17,2023-07-31,1
18278,10 10000044724,2022-10-17,2023-08-31,0
18279,10 10000044724,2022-10-17,2023-09-30,28
18280,10 10000044724,2022-10-17,2023-10-31,0
18281,10 10000044724,2022-10-17,2023-11-30,0
18282,10 10000044724,2022-10-17,2023-12-31,0
18283,10 10000044724,2022-10-17,2024-01-31,0
