CostoVenta,Ganacia,Sector,PasivosCorrientes,ActivosCorrientes
4036137.666666667,-172877.0,C,1393518.0,2624025.333333333
360366.0,-225309.0,C,4297547.0,4194993.0
17350373.66666667,3016357.333333333,H,9930307.333333334,34007305.33333334
6669986.333333333,442776.3333333333,C,1901346.333333333,6075680.666666667
15921993.0,1798100.0,C,8745986.333333334,11820626.66666667
7409163.333333333,123300.6666666667,C,1629153.666666667,3068574.0
21416633.0,219040.6666666666,C,3494347.0,6404669.0
19077747.33333333,1429992.333333333,C,5675163.0,10524314.33333333
3960812.333333333,358159.0,C,1485909.666666667,3621407.0
16459298.66666667,2366120.666666667,C,7528772.333333333,9581308.333333334
5354917.333333333,300559.0,C,1616999.666666667,1854067.0
5489124.333333333,519528.3333333333,C,501492.0,6202031.666666667
4935502.333333333,162867.0,C,4840597.0,3689676.333333333
5344078.666666667,74384.0,C,2707182.666666667,5434095.0
7343361.0,580154.0,C,3104586.666666667,6414804.333333333
4292179.0,-4502.333333333333,C,4100859.333333333,7600330.666666667
9876015.0,658972.3333333334,C,7431877.0,15900045.66666667
8008815.0,123622.6666666667,C,1202072.0,2925672.666666667
5921448.666666667,125238.0,C,3254811.333333333,8013351.666666667
21407344.66666667,362244.3333333333,C,13399665.33333333,16895542.33333333
3464002.0,-315126.3333333333,C,2223380.0,2593858.666666667
13403675.33333333,291983.3333333333,C,3409961.666666667,5915253.333333333
11091666.33333333,1194304.0,C,2965237.333333333,5965326.666666667
9600418.333333334,351441.3333333333,C,7750434.666666667,6983208.333333333
3105024.333333333,90625.0,C,2459232.666666667,3522585.0
4143573.0,382493.0,C,3030597.333333333,2889837.666666667
14227316.66666667,1005219.0,C,5165926.333333333,7829772.666666667
3645027.333333333,2899904.333333333,C,2734070.333333333,4452325.333333333
4524804.666666667,475833.3333333333,C,706868.6666666666,2195516.666666667
5837624.333333333,47844.66666666666,C,1930354.0,2187412.0
3305040.0,171756.0,C,2866096.0,5416454.0
8540637.333333334,-744339.0,C,3640650.666666667,2075776.333333333
23683474.66666667,373628.3333333333,C,7650835.333333333,14025362.0
16204377.0,421888.0,C,4209885.666666667,12827166.33333333
3813234.666666667,572467.6666666666,C,2517617.333333333,3893078.666666667
7047342.0,523575.3333333333,C,2012320.666666667,3282905.0
19828919.66666667,947052.6666666666,C,12605799.33333333,19297426.33333333
12359639.66666667,228692.3333333333,C,8952939.0,15580140.66666667
