client,date,state
M,2026-01-01,active
L,2026-01-01,active
W,2026-01-01,active
U,2026-01-01,active
I,2026-01-01,active
H,2026-01-01,active
A,2026-01-01,inactive
F,2026-01-01,active
D,2026-01-01,active
Q,2026-01-01,active
K,2026-01-01,active
Z,2026-01-01,active
V,2026-01-01,active
G,2026-01-01,active
R,2026-01-01,active
S,2026-01-01,active
T,2026-01-01,active
O,2026-01-01,active
P,2026-01-01,active
Y,2026-01-01,active
B,2026-01-01,active
J,2026-01-01,active
E,2026-01-01,active
X,2026-01-01,active
N,2026-01-01,active
C,2026-01-01,active
F,2026-02-01,active
V,2026-02-01,active
U,2026-02-01,inactive
K,2026-02-01,active
Y,2026-02-01,active
P,2026-02-01,active
R,2026-02-01,active
C,2026-02-01,active
M,2026-02-01,active
G,2026-02-01,active
I,2026-02-01,active
H,2026-02-01,active
N,2026-02-01,active
L,2026-02-01,inactive
B,2026-02-01,active
W,2026-02-01,active
O,2026-02-01,active
J,2026-02-01,active
Q,2026-02-01,inactive
D,2026-02-01,active
A,2026-02-01,default
Z,2026-02-01,inactive
E,2026-02-01,active
T,2026-02-01,active
S,2026-02-01,active
X,2026-02-01,active
N,2026-03-01,active
F,2026-03-01,active
E,2026-03-01,active
M,2026-03-01,inactive
R,2026-03-01,active
J,2026-03-01,inactive
D,2026-03-01,active
X,2026-03-01,active
Z,2026-03-01,inactive
L,2026-03-01,inactive
C,2026-03-01,active
P,2026-03-01,active
H,2026-03-01,active
T,2026-03-01,active
Q,2026-03-01,active
G,2026-03-01,active
A,2026-03-01,default
I,2026-03-01,active
U,2026-03-01,active
W,2026-03-01,active
O,2026-03-01,active
V,2026-03-01,active
S,2026-03-01,active
Y,2026-03-01,active
B,2026-03-01,active
K,2026-03-01,active
I,2026-04-01,active
E,2026-04-01,active
Q,2026-04-01,inactive
U,2026-04-01,inactive
S,2026-04-01,active
A,2026-04-01,default
X,2026-04-01,inactive
C,2026-04-01,active
W,2026-04-01,inactive
L,2026-04-01,inactive
D,2026-04-01,active
T,2026-04-01,inactive
F,2026-04-01,active
V,2026-04-01,active
B,2026-04-01,active
N,2026-04-01,active
K,2026-04-01,inactive
P,2026-04-01,inactive
Y,2026-04-01,active
R,2026-04-01,active
O,2026-04-01,active
M,2026-04-01,default
G,2026-04-01,inactive
J,2026-04-01,default
Z,2026-04-01,inactive
H,2026-04-01,active
A,2026-05-01,default
I,2026-05-01,inactive
F,2026-05-01,active
N,2026-05-01,active
M,2026-05-01,default
U,2026-05-01,default
S,2026-05-01,active
H,2026-05-01,inactive
P,2026-05-01,inactive
K,2026-05-01,inactive
O,2026-05-01,active
L,2026-05-01,inactive
R,2026-05-01,active
Y,2026-05-01,active
Q,2026-05-01,inactive
Z,2026-05-01,inactive
X,2026-05-01,active
W,2026-05-01,inactive
J,2026-05-01,default
V,2026-05-01,active
T,2026-05-01,inactive
D,2026-05-01,inactive
G,2026-05-01,default
B,2026-05-01,active
C,2026-05-01,inactive
E,2026-05-01,inactive
U,2026-06-01,default
D,2026-06-01,inactive
V,2026-06-01,inactive
G,2026-06-01,default
F,2026-06-01,inactive
I,2026-06-01,inactive
Y,2026-06-01,inactive
M,2026-06-01,default
X,2026-06-01,inactive
R,2026-06-01,inactive
K,2026-06-01,inactive
H,2026-06-01,active
P,2026-06-01,inactive
Q,2026-06-01,inactive
T,2026-06-01,default
W,2026-06-01,default
O,2026-06-01,active
S,2026-06-01,active
Z,2026-06-01,inactive
C,2026-06-01,inactive
J,2026-06-01,default
N,2026-06-01,active
V,2026-07-01,default
Z,2026-07-01,default
H,2026-07-01,inactive
O,2026-07-01,inactive
R,2026-07-01,default
Q,2026-07-01,inactive
I,2026-07-01,active
W,2026-07-01,default
Y,2026-07-01,inactive
M,2026-07-01,default
F,2026-07-01,default
D,2026-07-01,active
C,2026-07-01,active
K,2026-07-01,inactive
N,2026-07-01,inactive
U,2026-07-01,default
X,2026-07-01,inactive
P,2026-07-01,active
T,2026-07-01,default
S,2026-07-01,active
R,2026-08-01,default
C,2026-08-01,inactive
T,2026-08-01,default
Y,2026-08-01,inactive
X,2026-08-01,inactive
O,2026-08-01,inactive
Z,2026-08-01,default
V,2026-08-01,default
M,2026-08-01,default
F,2026-08-01,default
I,2026-08-01,active
W,2026-08-01,default
D,2026-08-01,active
S,2026-08-01,active
P,2026-08-01,active
Q,2026-08-01,active
K,2026-08-01,active
H,2026-08-01,active
U,2026-08-01,default
U,2026-09-01,default
I,2026-09-01,inactive
D,2026-09-01,active
Y,2026-09-01,inactive
K,2026-09-01,inactive
X,2026-09-01,default
H,2026-09-01,inactive
P,2026-09-01,inactive
S,2026-09-01,active
T,2026-09-01,default
M,2026-09-01,default
Q,2026-09-01,inactive
V,2026-09-01,default
W,2026-09-01,default
Y,2026-10-01,default
S,2026-10-01,active
W,2026-10-01,default
I,2026-10-01,default
X,2026-10-01,default
V,2026-10-01,default
T,2026-10-01,default
Q,2026-10-01,inactive
H,2026-10-01,active
P,2026-10-01,default
D,2026-10-01,active
W,2026-11-01,default
V,2026-11-01,default
Q,2026-11-01,inactive
T,2026-11-01,default
Y,2026-11-01,default
I,2026-11-01,default
D,2026-11-01,inactive
S,2026-11-01,inactive
P,2026-11-01,default
I,2026-12-01,default
S,2026-12-01,default
Y,2026-12-01,default
Q,2026-12-01,default
T,2026-12-01,default
