supplier,total_cost
domestic,1199.9801635929252
domestic,1202.463644523479
domestic,1200.9959858631705
domestic,1200.2862845645495
domestic,1199.6429032679064
domestic,1196.936248643806
domestic,1199.770917279104
domestic,1201.2402920922264
domestic,1201.105588305863
domestic,1198.6834696729004
domestic,1201.7983615862124
domestic,1198.8733082097028
domestic,1200.58572174675
domestic,1198.886627906557
domestic,1202.4645348182073
domestic,1203.2329845556787
domestic,1198.508543069456
domestic,1201.5912384101352
domestic,1200.2028861655863
domestic,1198.3689696292697
domestic,1200.9970174826728
domestic,1199.2999795913975
domestic,1197.5487170692058
domestic,1195.869044555461
domestic,1203.021730902126
domestic,1200.6081155101062
domestic,1201.3662284986144
domestic,1200.4089418619046
domestic,1199.6496116583155
domestic,1200.4601988543955
domestic,1197.9991255936366
domestic,1198.413666579208
domestic,1200.4792541187308
domestic,1199.8283810129017
domestic,1199.4505667236876
domestic,1200.7564362467967
domestic,1201.7004512288083
domestic,1200.1177936146646
domestic,1200.1206347082834
domestic,1199.5269154316356
domestic,1200.0766010955294
domestic,1195.9870459593615
domestic,1200.1618442155554
domestic,1198.6467149726518
domestic,1196.6414054411375
domestic,1200.1098763536668
domestic,1196.6984768367463
domestic,1197.834036869427
domestic,1197.9447720142325
domestic,1202.8226050496635
domestic,1200.7002438895727
domestic,1197.2911021347372
domestic,1201.302162877898
domestic,1201.3335431813834
domestic,1198.5933698746167
domestic,1198.3975788863736
domestic,1202.8285085955597
domestic,1202.4348961772685
domestic,1201.455433245654
domestic,1200.8420403420366
domestic,1198.426785741192
domestic,1201.7547071339866
domestic,1200.044554642888
domestic,1202.6025773972276
domestic,1199.7173642191958
domestic,1202.28054052275
domestic,1197.481450199202
domestic,1200.233268699822
domestic,1198.3401510423616
domestic,1199.054005390864
domestic,1199.3515236579378
domestic,1198.5957673467308
domestic,1201.435038337386
domestic,1200.3576064946215
domestic,1201.4536851726461
domestic,1198.5197435622297
domestic,1198.6445094586882
domestic,1201.6145316650084
domestic,1203.6070348976791
domestic,1199.0189631435073
imported,1300.6626300804767
imported,1298.7843576904404
imported,1299.9377735987
imported,1297.8703005830462
imported,1302.1726604773778
imported,1298.5874193158368
imported,1299.5614176284994
imported,1299.6767509913022
imported,1296.9890120024359
imported,1297.7798804625809
imported,1298.6558911148215
imported,1298.2348257456213
imported,1298.979615146747
imported,1301.7382162013084
imported,1299.5675575939883
imported,1300.1526257055111
imported,1300.5749555485697
imported,1297.1660142520163
imported,1299.933997777553
imported,1298.2718066677699
imported,1298.5248618293604
imported,1299.6126061086122
imported,1301.9238630510335
imported,1296.065576239612
imported,1298.014818415201
imported,1305.9877831425379
imported,1300.333280640228
imported,1300.9159747722033
imported,1298.4801628108155
imported,1299.841320679094
imported,1299.0475546115683
imported,1299.3326625637771
imported,1299.0194768284696
imported,1299.7571717377043
imported,1299.7706526788386
imported,1303.841003102208
imported,1299.107098415941
imported,1299.4121989018727
imported,1299.4267110995065
imported,1301.3397991991076
imported,1301.8027295905476
imported,1296.7158960061774
imported,1299.383187585407
imported,1303.4557613197703
imported,1300.4600560474194
imported,1301.35920464716
imported,1301.0267305158359
imported,1301.884973019682
imported,1302.0655445416592
imported,1300.6231180245086
imported,1302.0174650946126
imported,1300.162372177107
imported,1297.4237151919417
imported,1300.074104799124
imported,1301.4316290626996
imported,1299.2175296767018
imported,1301.2736591594692
imported,1298.0034356821454
imported,1301.7773676778897
imported,1303.2214457997518
imported,1300.4281574550869
imported,1301.3192611950376
imported,1299.7796426131629
imported,1299.5125172006449
imported,1301.9057975581154
imported,1300.474465425476
imported,1299.6548057684465
imported,1298.6338136457418
imported,1297.4078254083402
imported,1299.086787646662
imported,1304.7725109462776
imported,1299.8784455728396
imported,1298.3589559338848
imported,1299.6375707391069
imported,1300.4049844003966
imported,1297.9695521882668
imported,1300.654687567989
imported,1298.5040362974078
imported,1294.7574612121184
imported,1299.6143791057782
imported,1296.295192728282
imported,1301.3414458075306
imported,1294.9750897334404
imported,1299.5932056805295
imported,1302.1505150115702
imported,1301.6366115024086
imported,1300.2542060874353
imported,1298.51407651053
imported,1302.574322055161
imported,1297.7783332184804
imported,1299.2175867889428
imported,1303.5875945460564
imported,1300.6878626585708
imported,1299.763326156836
imported,1300.5401836510484
imported,1301.012874295417
imported,1300.6475229698074
imported,1297.7870675334725
imported,1300.9918788059497
imported,1298.383775828935
