transaction_id,customer_id,transaction_time,amount
T00001,C001,2026-09-01 09:42:02,35.39
T00002,C001,2026-09-01 09:49:55,75.86
T00003,C001,2026-09-01 09:22:09,495.08
T00004,C001,2026-09-01 09:12:39,406.84
T00005,C001,2026-09-01 10:00:36,11.33
T00006,C001,2026-09-01 11:08:10,241.85
T00007,C001,2026-09-01 11:37:54,399.2
T00008,C001,2026-09-01 11:30:48,426.86
T00009,C001,2026-09-01 12:59:43,210.17
T00010,C001,2026-09-01 12:52:55,495.56
T00011,C001,2026-09-01 12:33:11,195.82
T00012,C001,2026-09-01 13:00:39,363.58
T00013,C001,2026-09-01 14:59:28,78.49
T00014,C001,2026-09-01 14:40:36,108.8
T00015,C001,2026-09-01 15:29:34,90.49
T00016,C001,2026-09-01 16:04:18,335.95
T00017,C002,2026-09-01 09:25:03,164.94
T00018,C002,2026-09-01 09:41:24,344.66
T00019,C002,2026-09-01 10:07:38,359.75
T00020,C002,2026-09-01 10:31:50,315.81
T00021,C002,2026-09-01 11:32:22,224.98
T00022,C002,2026-09-01 13:32:24,184.13
T00023,C002,2026-09-01 13:46:54,270.61
T00024,C002,2026-09-01 13:52:39,122.22
T00025,C002,2026-09-01 13:38:50,221.45
T00026,C002,2026-09-01 14:02:06,367.97
T00027,C002,2026-09-01 14:41:51,399.07
T00028,C002,2026-09-01 15:28:32,271.4
T00029,C002,2026-09-01 16:38:26,396.41
T00030,C002,2026-09-01 16:37:56,162.74
T00031,C002,2026-09-01 16:36:26,374.53
T00032,C003,2026-09-01 09:03:21,359.89
T00033,C003,2026-09-01 09:04:58,379.77
T00034,C003,2026-09-01 10:53:37,272.88
T00035,C003,2026-09-01 10:46:35,233.93
T00036,C003,2026-09-01 10:51:55,256.12
T00037,C003,2026-09-01 10:07:04,248.32
T00038,C003,2026-09-01 10:03:11,388.22
T00039,C003,2026-09-01 10:26:30,303.24
T00040,C003,2026-09-01 11:35:35,360.93
T00041,C003,2026-09-01 12:26:04,415.13
T00042,C003,2026-09-01 13:09:39,295.86
T00043,C003,2026-09-01 13:07:22,236.38
T00044,C003,2026-09-01 14:45:42,85.14
T00045,C003,2026-09-01 14:12:39,257.89
T00046,C003,2026-09-01 15:24:32,18.87
T00047,C003,2026-09-01 16:59:42,466.74
T00048,C003,2026-09-01 16:35:47,351.36
T00049,C003,2026-09-01 16:55:36,356.55
T00050,C004,2026-09-01 09:41:48,292.38
T00051,C004,2026-09-01 09:57:08,217.82
T00052,C004,2026-09-01 09:28:13,467.84
T00053,C004,2026-09-01 09:21:10,230.91
T00054,C004,2026-09-01 10:45:36,492.57
T00055,C004,2026-09-01 11:45:35,71.08
T00056,C004,2026-09-01 11:56:00,436.25
T00057,C004,2026-09-01 11:54:50,299.72
T00058,C004,2026-09-01 12:20:46,36.83
T00059,C004,2026-09-01 13:08:09,403.4
T00060,C004,2026-09-01 13:52:25,173.41
T00061,C004,2026-09-01 13:51:24,433.12
T00062,C004,2026-09-01 13:37:01,238.19
T00063,C004,2026-09-01 14:26:33,460.04
T00064,C004,2026-09-01 14:42:58,231.7
T00065,C004,2026-09-01 14:50:53,96.43
T00066,C004,2026-09-01 14:06:51,215.27
T00067,C004,2026-09-01 15:23:32,187.57
T00068,C004,2026-09-01 15:42:21,117.85
T00069,C005,2026-09-01 10:49:20,262.44
