id-book,date,id-client,semester
ECON22403,2024-10-08,102,sem2
TECH33313,2024-12-16,103,sem2
NAT22220,2024-07-11,104,sem2
TECH33442,2024-10-16,105,sem2
SS32023,2024-12-26,105,sem2
SF21220,2024-07-01,107,sem2
SF41204,2024-12-08,109,sem2
ECON24043,2024-08-27,110,sem2
ECON11401,2024-10-21,110,sem2
ECON32200,2024-08-24,110,sem2
ECON03242,2024-07-22,110,sem2
SS20204,2024-09-09,110,sem2
TECH04310,2024-10-07,111,sem2
TECH20212,2024-08-26,112,sem2
TECH04110,2024-10-09,112,sem2
NAT32124,2024-10-14,113,sem2
SF13403,2024-08-16,114,sem2
SS12414,2024-07-05,115,sem2
TECH40242,2024-12-06,115,sem2
SF22212,2024-07-13,116,sem2
ECON01420,2024-12-23,116,sem2
TECH21242,2024-10-13,117,sem2
NAT23142,2024-12-02,118,sem2
ECON41410,2024-08-12,118,sem2
ECON24204,2024-07-26,119,sem2
SF12141,2024-09-19,120,sem2
NAT21412,2024-09-11,120,sem2
SF10440,2024-09-17,122,sem2
SF11131,2024-11-16,124,sem2
SF32141,2024-09-16,124,sem2
TECH43043,2024-08-08,124,sem2
SS13010,2024-07-04,125,sem2
ECON34034,2024-08-20,126,sem2
ECON30230,2024-10-05,127,sem2
SF32144,2024-09-23,127,sem2
NAT42400,2024-11-01,128,sem2
ECON03012,2024-12-11,131,sem2
ECON12430,2024-10-13,133,sem2
ECON33412,2024-09-02,133,sem2
ECON02313,2024-11-04,135,sem2
TECH30214,2024-09-28,135,sem2
O14024,2024-08-22,136,sem2
SS31004,2024-08-04,136,sem2
SS23031,2024-11-28,137,sem2
NAT43220,2024-10-22,138,sem2
NAT21232,2024-11-07,138,sem2
NAT30211,2024-12-02,141,sem2
NAT34224,2024-12-03,142,sem2
SS13031,2024-08-02,143,sem2
TECH22111,2024-12-14,144,sem2
ECON33002,2024-11-18,144,sem2
SF24224,2024-11-16,144,sem2
O30133,2024-11-06,147,sem2
SF10141,2024-11-27,148,sem2
SF12223,2024-09-17,148,sem2
SF30030,2024-12-21,148,sem2
TECH01333,2024-10-28,149,sem2
NAT12020,2024-09-17,149,sem2
SF21330,2024-09-12,150,sem2
SF10313,2024-11-25,151,sem2
SF33122,2024-09-19,152,sem2
TECH21243,2024-07-03,153,sem2
NAT11440,2024-08-23,153,sem2
NAT10322,2024-12-09,154,sem2
SF04114,2024-11-05,154,sem2
SF40424,2024-12-07,155,sem2
ECON33004,2024-12-12,156,sem2
ECON00140,2024-07-07,156,sem2
ECON04440,2024-12-19,156,sem2
SS02421,2024-12-08,157,sem2
SF24444,2024-11-25,157,sem2
ECON04003,2024-09-12,157,sem2
O13430,2024-07-05,158,sem2
ECON23030,2024-12-13,158,sem2
SF30023,2024-07-24,159,sem2
ECON43333,2024-07-08,162,sem2
O24324,2024-12-18,162,sem2
TECH13202,2024-12-05,165,sem2
NAT44031,2024-08-15,165,sem2
TECH04223,2024-07-15,165,sem2
SS02401,2024-08-04,165,sem2
ECON00123,2024-12-03,166,sem2
SS03134,2024-07-02,166,sem2
TECH31200,2024-12-05,166,sem2
ECON32332,2024-07-28,167,sem2
NAT03240,2024-07-05,170,sem2
O40434,2024-10-11,170,sem2
SS22024,2024-08-24,173,sem2
ECON41344,2024-11-23,173,sem2
NAT44043,2024-12-14,174,sem2
TECH42432,2024-10-13,174,sem2
O34330,2024-08-16,177,sem2
TECH44032,2024-11-18,177,sem2
ECON21330,2024-09-04,178,sem2
ECON10441,2024-09-23,179,sem2
SF14444,2024-08-28,179,sem2
SF24432,2024-11-13,179,sem2
TECH20221,2024-07-12,179,sem2
TECH04403,2024-09-11,180,sem2
ECON34103,2024-12-18,180,sem2
ECON40343,2024-11-16,182,sem2
O43231,2024-08-14,182,sem2
ECON01402,2024-08-19,184,sem2
ECON41242,2024-12-25,184,sem2
O04231,2024-10-14,185,sem2
