value,region,incomeLevel,Gdp2020,lifeExp2020
Aruba,LCN,HIC,29236.0472636614,75.723
Afghanistan,SAS,LIC,1968.34100152117,62.575
Angola,SSF,LMC,6029.69189495339,62.261
Albania,ECS,UMC,13278.4345162925,76.989
Andorra,ECS,HIC,,
United Arab Emirates,MEA,HIC,67668.2866393681,78.946
Argentina,LCN,UMC,19694.5605233461,75.892
Armenia,ECS,UMC,13357.6970638572,72.173
American Samoa,EAS,HIC,,
Antigua and Barbuda,LCN,HIC,19062.4125766856,78.841
Australia,EAS,HIC,48651.7349653922,83.2
Austria,ECS,HIC,51854.7493457907,81.1926829268293
Azerbaijan,ECS,UMC,13726.7696576885,66.868
Burundi,SSF,LIC,711.355263408189,61.566
Belgium,ECS,HIC,49030.9912855647,80.6951219512195
Benin,SSF,LMC,3186.48609895157,60.088
Burkina Faso,SSF,LIC,2089.56780406926,59.731
Bangladesh,SAS,LMC,5591.3737660456,71.968
Bulgaria,ECS,UMC,22466.9185666618,73.6585365853659
Bahrain,MEA,HIC,47994.4142924226,79.174
"Bahamas, The",LCN,HIC,26132.2075199469,72.677
Bosnia and Herzegovina,ECS,UMC,14587.5700530203,76.225
Belarus,ECS,UMC,19239.5531427458,72.4572195121951
Belize,LCN,UMC,7586.02364366463,72.854
Bermuda,NAC,HIC,76117.8047438727,81.136
Bolivia,LCN,LMC,7679.93319449802,64.467
Brazil,LCN,UMC,14109.7639690445,74.009
Barbados,LCN,HIC,14003.9220283777,77.393
Brunei Darussalam,EAS,HIC,61603.5508036186,74.795
Bhutan,SAS,LMC,11176.2904187988,71.609
Botswana,SSF,UMC,13545.0474160116,65.647
Central African Republic,SSF,LIC,847.765012420583,54.604
Canada,NAC,HIC,46181.7575545756,81.6704878048781
Switzerland,ECS,HIC,67928.1915071394,83.0
Channel Islands,ECS,HIC,,81.264
Chile,LCN,HIC,22970.5504348341,79.377
China,EAS,UMC,16296.6093791402,78.077
Cote d'Ivoire,SSF,LMC,5092.16347104493,59.032
Cameroon,SSF,LMC,3665.5105811789,60.833
"Congo, Dem. Rep.",SSF,LIC,1044.07121380237,59.739
"Congo, Rep.",SSF,LMC,3748.93261286327,63.785
Colombia,LCN,UMC,13358.2980828837,74.769
Comoros,SSF,LMC,3222.37408929598,64.166
Cabo Verde,SSF,LMC,6073.38035252938,74.808
Costa Rica,LCN,UMC,19778.3865303186,79.277
Cuba,LCN,UMC,,77.567
Curacao,LCN,HIC,19907.1222876223,
Cayman Islands,LCN,HIC,67530.6954647579,
Cyprus,ECS,HIC,39871.87109375,81.391
Czechia,ECS,HIC,38639.9795202601,78.2268292682927
Germany,ECS,HIC,51780.0267992323,81.0414634146342
Djibouti,MEA,LMC,4759.25897717946,62.694
Dominica,LCN,UMC,10255.8596145691,73.649
Denmark,ECS,HIC,55275.062250353,81.6024390243903
Dominican Republic,LCN,UMC,16768.4261044255,72.889
Algeria,MEA,LMC,10844.7707638851,74.453
Ecuador,LCN,UMC,10356.9742017158,72.153
"Egypt, Arab Rep.",MEA,LMC,11989.5992514646,70.99
Eritrea,SSF,LIC,,67.133
Spain,ECS,HIC,36051.4185775262,82.3317073170732
Estonia,ECS,HIC,35883.265325261,78.5951219512195
Ethiopia,SSF,LIC,2253.23578832192,65.371
Finland,ECS,HIC,47371.2175698728,81.9317073170732
Fiji,EAS,UMC,10961.8469533848,67.924
France,ECS,HIC,42344.9458934579,82.1756097560976
Faroe Islands,ECS,HIC,,83.1975609756098
