,value,region,incomeLevel,TotalPop2020,TotalRuralPop2020
0,Aruba,LCN,HIC,106585.0,60011.0
2,Afghanistan,SAS,LIC,38972230.0,28829317.0
4,Angola,SSF,LMC,33428486.0,11089900.0
5,Albania,ECS,UMC,2837849.0,1075204.0
6,Andorra,ECS,HIC,77700.0,9389.0
8,United Arab Emirates,MEA,HIC,9287289.0,1202890.0
9,Argentina,LCN,UMC,45376763.0,3579773.0
10,Armenia,ECS,UMC,2805608.0,1029293.0
11,American Samoa,EAS,HIC,46189.0,5934.0
12,Antigua and Barbuda,LCN,HIC,92664.0,70023.0
13,Australia,EAS,HIC,25649248.0,3529080.0
14,Austria,ECS,HIC,8916864.0,3678385.0
15,Azerbaijan,ECS,UMC,10093121.0,4400904.0
16,Burundi,SSF,LIC,12220227.0,10545078.0
17,Belgium,ECS,HIC,11538604.0,221657.0
18,Benin,SSF,LMC,12643123.0,6521955.0
19,Burkina Faso,SSF,LIC,21522626.0,14935196.0
20,Bangladesh,SAS,LMC,167420951.0,103504655.0
21,Bulgaria,ECS,UMC,6934015.0,1685936.0
22,Bahrain,MEA,HIC,1477469.0,155046.0
23,"Bahamas, The",LCN,HIC,406471.0,68104.0
24,Bosnia and Herzegovina,ECS,UMC,3318407.0,1691724.0
25,Belarus,ECS,UMC,9379952.0,1924485.0
26,Belize,LCN,UMC,394921.0,213159.0
27,Bermuda,NAC,HIC,63893.0,0.0
28,Bolivia,LCN,LMC,11936162.0,3566167.0
29,Brazil,LCN,UMC,213196304.0,27559886.0
30,Barbados,LCN,HIC,280693.0,193142.0
31,Brunei Darussalam,EAS,HIC,441725.0,96075.0
32,Bhutan,SAS,LMC,772506.0,445612.0
33,Botswana,SSF,UMC,2546402.0,741589.0
34,Central African Republic,SSF,LIC,5343020.0,3088372.0
35,Canada,NAC,HIC,38007166.0,7007761.0
37,Switzerland,ECS,HIC,8638167.0,2253266.0
38,Channel Islands,ECS,HIC,171113.0,118131.0
39,Chile,LCN,HIC,19300315.0,2368728.0
40,China,EAS,UMC,1411100000.0,544289492.0
41,Cote d'Ivoire,SSF,LMC,26811790.0,12948486.0
42,Cameroon,SSF,LMC,26491087.0,11242817.0
43,"Congo, Dem. Rep.",SSF,LIC,92853164.0,50476837.0
44,"Congo, Rep.",SSF,LMC,5702174.0,1834446.0
45,Colombia,LCN,UMC,50930662.0,9460370.0
46,Comoros,SSF,LMC,806166.0,569314.0
47,Cabo Verde,SSF,LMC,582640.0,194299.0
48,Costa Rica,LCN,UMC,5123105.0,985122.0
50,Cuba,LCN,UMC,11300698.0,2577237.0
51,Curacao,LCN,HIC,154947.0,16948.0
52,Cayman Islands,LCN,HIC,67311.0,0.0
53,Cyprus,ECS,HIC,1237537.0,410602.0
54,Czechia,ECS,HIC,10697858.0,2774917.0
55,Germany,ECS,HIC,83160871.0,18750282.0
56,Djibouti,MEA,LMC,1090156.0,239158.0
57,Dominica,LCN,UMC,71995.0,20814.0
58,Denmark,ECS,HIC,5831404.0,693004.0
59,Dominican Republic,LCN,UMC,10999664.0,1920541.0
60,Algeria,MEA,LMC,43451666.0,11413449.0
66,Ecuador,LCN,UMC,17588595.0,6302697.0
67,"Egypt, Arab Rep.",MEA,LMC,107465134.0,61488326.0
69,Eritrea,SSF,LIC,3555868.0,2085623.0
70,Spain,ECS,HIC,47365655.0,9089469.0
71,Estonia,ECS,HIC,1329522.0,409107.0
72,Ethiopia,SSF,LIC,117190911.0,91766343.0
75,Finland,ECS,HIC,5529543.0,800844.0
76,Fiji,EAS,UMC,920422.0,393508.0
77,France,ECS,HIC,67571107.0,12855403.0
78,Faroe Islands,ECS,HIC,52415.0,30192.0
79,"Micronesia, Fed. Sts.",EAS,LMC,112106.0,86397.0
80,Gabon,SSF,UMC,2292573.0,227148.0
81,United Kingdom,ECS,HIC,67081234.0,10798066.0
82,Georgia,ECS,UMC,3722716.0,1509450.0
83,Ghana,SSF,LMC,32180401.0,13725263.0
84,Gibraltar,ECS,HIC,32709.0,0.0
85,Guinea,SSF,LMC,13205153.0,8335753.0
86,"Gambia, The",SSF,LIC,2573995.0,963137.0
87,Guinea-Bissau,SSF,LIC,2015828.0,1124913.0
88,Equatorial Guinea,SSF,UMC,1596049.0,429337.0
89,Greece,ECS,HIC,10698599.0,2170211.0
90,Grenada,LCN,UMC,123663.0,78480.0
91,Greenland,ECS,HIC,56367.0,7169.0
92,Guatemala,LCN,UMC,16858333.0,8119648.0
93,Guam,EAS,HIC,169231.0,8566.0
94,Guyana,LCN,HIC,797202.0,583663.0
96,"Hong Kong SAR, China",EAS,HIC,7481000.0,0.0
97,Honduras,LCN,LMC,10121763.0,4214803.0
99,Croatia,ECS,HIC,4047680.0,1718119.0
100,Haiti,LCN,LMC,11306801.0,4851974.0
101,Hungary,ECS,HIC,9750149.0,2735697.0
106,Indonesia,EAS,UMC,271857970.0,117874897.0
108,Isle of Man,ECS,HIC,84046.0,39587.0
109,India,SAS,LMC,1396387127.0,908684959.0
111,Ireland,ECS,HIC,4985382.0,1812037.0
112,"Iran, Islamic Rep.",MEA,LMC,87290193.0,21059632.0
113,Iraq,MEA,UMC,42556984.0,12387061.0
114,Iceland,ECS,HIC,366463.0,22362.0
115,Israel,MEA,HIC,9215100.0,683115.0
116,Italy,ECS,HIC,59438851.0,17214086.0
117,Jamaica,LCN,UMC,2820436.0,1232220.0
118,Jordan,MEA,LMC,10928721.0,937903.0
119,Japan,EAS,HIC,126261000.0,10376129.0
120,Kazakhstan,ECS,UMC,18755666.0,7939086.0
121,Kenya,SSF,LMC,51985780.0,37432361.0
122,Kyrgyz Republic,ECS,LMC,6579900.0,4154812.0
123,Cambodia,EAS,LMC,16396860.0,12423573.0
124,Kiribati,EAS,LMC,126463.0,56157.0
125,St. Kitts and Nevis,LCN,HIC,47642.0,32948.0
126,"Korea, Rep.",EAS,HIC,51836239.0,9634283.0
127,Kuwait,MEA,HIC,4360444.0,0.0
129,Lao PDR,EAS,LMC,7319399.0,4663189.0
130,Lebanon,MEA,LMC,5662923.0,627169.0
131,Liberia,SSF,LIC,5087584.0,2437512.0
132,Libya,MEA,UMC,6653942.0,1284810.0
133,St. Lucia,LCN,UMC,179237.0,145467.0
137,Liechtenstein,ECS,HIC,38756.0,33169.0
138,Sri Lanka,SAS,LMC,21919000.0,17817298.0
141,Lesotho,SSF,LMC,2254100.0,1599780.0
143,Lithuania,ECS,HIC,2794885.0,893078.0
144,Luxembourg,ECS,HIC,630419.0,53882.0
145,Latvia,ECS,HIC,1900449.0,602157.0
146,"Macao SAR, China",EAS,HIC,676283.0,0.0
147,St. Martin (French part),LCN,HIC,32553.0,
148,Morocco,MEA,LMC,36688772.0,13379661.0
149,Monaco,ECS,HIC,36922.0,0.0
150,Moldova,ECS,UMC,2635130.0,1506003.0
151,Madagascar,SSF,LIC,28225177.0,17348887.0
152,Maldives,SAS,UMC,514438.0,305221.0
154,Mexico,LCN,UMC,125998302.0,24278613.0
155,Marshall Islands,EAS,UMC,43413.0,9640.0
157,North Macedonia,ECS,UMC,2072531.0,860473.0
158,Mali,SSF,LIC,21224040.0,11904776.0
